Table S2 Canonical RBDs used in RBPbase. Pfam_ID list from DOMAIN.BC file at https://git.embl.de/grp-hentze/grp_rbpbase/rbpbasebackend. Pfam_Name and Pfam_Description were added. ,,
Pfam_ID,Pfam_Name,Pfam_Description
PF03828,PAP_assoc,Cid1 family poly A polymerase
PF03880,DbpA,DbpA RNA binding domain
PF04032,Rpr2,RNAse P Rpr2/Rpp21/SNM1 subunit domain
PF04059,RRM_2,RNA recognition motif 2
PF04135,Nop10p,"Nucleolar RNA-binding protein, Nop10p family"
PF04146,YTH,YT521-B-like domain
PF04266,ASCH,ASCH domain
PF04410,Gar1,Gar1/Naf1 RNA binding region
PF04427,Brix,Brix domain
PF04557,tRNA_synt_1c_R2,"Glutaminyl-tRNA synthetase, non-specific RNA binding region part 2"
PF04558,tRNA_synt_1c_R1,"Glutaminyl-tRNA synthetase, non-specific RNA binding region part 1"
PF04774,HABP4_PAI-RBP1,Hyaluronan / mRNA binding family
PF04801,RPC5,RPC5 protein
PF04845,PurA,PurA ssDNA and RNA-binding protein
PF04857,CAF1,CAF1 family ribonuclease
PF04926,PAP_RNA-bind,Poly(A) polymerase predicted RNA binding domain
PF04935,SURF6,Surfeit locus protein 6
PF05127,Helicase_RecD,Helicase
PF05172,Nup35_RRM,Nup53/35/40-type RNA recognition motif
PF05189,RTC_insert,"RNA 3'-terminal phosphate cyclase (RTC), insert domain"
PF05253,zf-U11-48K,U11-48K-like CHHC zinc finger
PF05383,La,La domain
PF05731,TROVE,TROVE domain
PF05741,zf-nanos,Nanos RNA binding domain
PF05958,tRNA_U5-meth_tr,tRNA (Uracil-5-)-methyltransferase
PF06859,Bin3,Bicoid-interacting protein 3 (Bin3)
PF07497,Rho_RNA_bind,"Rho termination factor, RNA-binding domain"
PF07498,Rho_N,"Rho termination factor, N-terminal domain"
PF07647,SAM_2,SAM domain (Sterile alpha motif)
PF07650,KH_2,KH domain
PF08032,SpoU_sub_bind,RNA 2'-O ribose methyltransferase substrate binding
PF08080,zf-RNPHF,RNPHF zinc finger
PF08081,RBM1CTR,RBM1CTR (NUC064) family
PF08156,NOP5NT,NOP5NT (NUC127) domain
PF08210,APOBEC_N,APOBEC-like N-terminal domain
PF08228,RNase_P_pop3,RNase P subunit Pop3
PF08373,RAP,RAP domain
PF08492,SRP72,SRP72 RNA-binding domain
PF08517,AXH,Ataxin-1 and HBP1 module (AXH)
PF08675,RNA_bind,RNA binding domain
PF08710,CoV_NSP9,Coronavirus replicase NSP9
PF08772,NOB1_Zn_bind,Nin one binding (NOB1) Zn-ribbon like
PF08777,RRM_3,RNA binding motif
PF09105,SelB-wing_1,"Elongation factor SelB, winged helix"
PF09106,SelB-wing_2,"Elongation factor SelB, winged helix"
PF09107,SelB-wing_3,"Elongation factor SelB, winged helix"
PF09157,TruB-C_2,"Pseudouridine synthase II TruB, C-terminal"
PF09162,Tap-RNA_bind,"Tap, RNA-binding"
PF09246,PHAT,PHAT
PF09369,DUF1998,Domain of unknown function (DUF1998)
PF09387,MRP,Mitochondrial RNA binding protein MRP
PF09405,Btz,CASC3/Barentsz eIF4AIII binding
PF09416,UPF1_Zn_bind,RNA helicase (UPF2 interacting domain)
PF09738,LRRFIP,LRRFIP family
PF10133,CooT,CO dehydrogenase accessory protein CooT
PF10258,RNA_GG_bind,PHAX RNA-binding domain
PF10330,Stb3,Putative Sin3 binding protein
PF10373,EST1_DNA_bind,Est1 DNA/RNA binding domain
PF10378,RRM,Putative RRM domain
PF10458,Val_tRNA-synt_C,Valyl tRNA synthetase tRNA binding arm
PF10597,U5_2-snRNA_bdg,U5-snRNA binding site 2 of PrP8
PF10598,RRM_4,RNA recognition motif of the spliceosomal PrP8
PF11435,She2p,RNA binding protein She2p
PF11717,Tudor-knot,RNA binding activity-knot of a chromodomain
PF12009,Telomerase_RBD,Telomerase ribonucleoprotein complex - RNA binding domain
PF12171,zf-C2H2_jaz,Zinc-finger double-stranded RNA-binding
PF12212,PAZ_siRNAbind,PAZ domain
PF12220,U1snRNP70_N,U1 small nuclear ribonucleoprotein of 70kDa MW N terminal
PF12235,FXMRP1_C_core,Fragile X-related 1 protein core C terminal
PF12287,Caprin-1_C,Cytoplasmic activation/proliferation-associated protein-1 C term
PF12874,zf-met,Zinc-finger of C2H2 type
PF13893,RRM_5,"RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain)"
PF13894,zf-C2H2_4,C2H2-type zinc finger
PF16367,RRM_7,RNA recognition motif
