Gene name	Ensembl ID	Gene description	Canonical RBD	Pfam ID	Protein Domains	Pfam Description	Excitatory Expression	Inhibitory Expression	Astrocyte Expression	Microglia Expression	Oligodendrocyte Expression	Amygdala expression	Basal ganglia expression	Cerebellum expression	Cortex expression	Hippocampus expression	Hypothalamus expression	Non-brain expression	Accelerated dorsal expression (D2)	NPC expression (D15)	Neural rosette expression (D21)	Neuron expression (D77)	LOEUF	Synapse localization	Autism susceptibility
ARID4B	ENSG00000054267	AT-rich interaction domain 4B [Source:HGNC Symbol;Acc:HGNC:15550]	1	PF11717|PF01388|PF08169	Tudor-knot|ARID|RBB1NT	RNA binding activity-knot of a chromodomain|ARID/BRIGHT DNA binding domain|RBB1NT (NUC162) domain	7.4652686375	7.24010529259259	5.00173833333333	1.7377402	6.8761096	3.04418250856729	3.27817362387378	4.95225434644375	3.3598795507314	3.21988252620616	3.51247974691963	4.39239299053986	1.66313940697839	1.60621239205203	1.90496735825272	1.66848747325802	0.187	0	0
ARPC1B	ENSG00000130429	actin related protein 2/3 complex subunit 1B [Source:HGNC Symbol;Acc:HGNC:704]	1	PF00400	WD40	WD domain, G-beta repeat	0.0344114413678571	0.00258114988888889	0	0.12978685	0	3.18294172872944	3.29609393459337	2.60235354177248	3.10794391659305	3.27773039410406	3.91453582237872	5.92011938494347	1.85311169642072	1.57636042656441	1.4583931076353	0.427215188327729	0.645	0	0
ASCC1	ENSG00000138303	activating signal cointegrator 1 complex subunit 1 [Source:HGNC Symbol;Acc:HGNC:24268]	1	PF00013|PF10469	KH_1|AKAP7_NLS	KH domain|AKAP7 2'5' RNA ligase-like domain	3.27563355625	3.02691669814815	2.2381073	0.6013345	1.246475925	3.2473548776758	3.25647026093131	4.08260892690934	3.16475892973995	3.11026968900442	3.56907786203424	3.79029244968989	1.7721804154597	1.77748704053988	1.86940491963257	1.30839885180798	1.317	0	0
ASCC3	ENSG00000112249	activating signal cointegrator 1 complex subunit 3 [Source:HGNC Symbol;Acc:HGNC:18697]	1	PF00270|PF02889|PF00271	DEAD|Sec63|Helicase_C	DEAD/DEAH box helicase|Sec63 Brl domain|Helicase conserved C-terminal domain	7.3958934875	6.74290243703704	0.928190306666667	1.4109058	1.80284285	1.54935866835672	1.73629097653043	2.62817399992462	1.68053140586076	1.52830125708877	1.9098345349579	3.04346699925565	3.29156273806252	2.56300928094359	2.37343996316218	1.44406943905756	0.568	0	0
ATRX	ENSG00000085224	ATRX, chromatin remodeler [Source:HGNC Symbol;Acc:HGNC:886]	1	PF00176|PF00271	SNF2_N|Helicase_C	SNF2 family N-terminal domain|Helicase conserved C-terminal domain	8.24985457142857	8.61413765185185	6.15705406666667	4.5786095	4.9023903	2.74807045017623	2.77849771734611	4.39991617986609	3.14626582436665	2.70128511164701	3.02596960690941	3.725610293876	2.0063545447418	1.81170791316978	2.16705294206889	2.40646243168672	0.119	0	1
ATXN1	ENSG00000124788	ataxin 1 [Source:HGNC Symbol;Acc:HGNC:10548]	1	PF12547|PF08517	AXH	Ataxin-1 and HBP1 module (AXH)	8.88359380357143	8.69160885185185	6.98901913333333	4.197112	8.46372925	2.54231996668034	2.72360333783756	3.74377883841134	3.64537887190316	2.61284786089255	2.57894354219004	3.01511572135628	0.0973665927553089	0.361751206985502	0.323028476015661	1.07181438880185	0.316	0	0
ATXN1L	ENSG00000224470	ataxin 1 like [Source:HGNC Symbol;Acc:HGNC:33279]	1	PF08517	AXH	Ataxin-1 and HBP1 module (AXH)	0.073533506375	0.00117933722222222	0	0	0	3.02844715444334	3.10543839094177	3.78094520704459	3.06596687918611	3.04588850180906	3.03105106823396	4.30057037825054	1.86277326040931	1.73260206539958	1.63790003473123	1.24226589351654	0.305	0	0
BCDIN3D	ENSG00000186666	BCDIN3 domain containing RNA methyltransferase [Source:HGNC Symbol;Acc:HGNC:27050]	1	PF06859	Bin3	Bicoid-interacting protein 3 (Bin3)	0.000473214285714286	0.00267056537037037	0	0	0	1.33368133484022	1.30894328812521	2.51441518907301	1.4854422845343	1.36321033359306	1.54382744246844	2.12546926566738	0.529802319652451	0.600732224146616	0.813156423836811	0.609613233935461	1.321	0	0
BCLAF1	ENSG00000029363	BCL2 associated transcription factor 1 [Source:HGNC Symbol;Acc:HGNC:16863]	1	PF15440|PF09405	Btz	CASC3/Barentsz eIF4AIII binding	6.37910085	5.69647605555556	1.48049083333333	0.37749112	0.572644575	3.90998426161485	4.07018750821939	5.82058362630168	4.33713304212384	3.97144238931739	4.40650265681287	5.37755760323341	3.90541102001151	3.06539129425145	3.76763065743922	3.21903044082963	0.929	0	0
BICC1	ENSG00000122870	BicC family RNA binding protein 1 [Source:HGNC Symbol;Acc:HGNC:19351]	1	PF00013|PF00536	KH_1|SAM_1	KH domain|SAM domain (Sterile alpha motif)	2.93332640598214	1.53672404637037	1.2276113	0.07535461	0.075396811	0.567048888196529	0.727523631636896	0.252642727562747	1.36604519020281	0.635026244298077	0.884881548247035	3.26574142619113	0.13155108075655	0.463290335926488	0.759686367553939	0.523008659916279	0.339	0	0
BLM	ENSG00000197299	Bloom syndrome RecQ like helicase [Source:HGNC Symbol;Acc:HGNC:1058]	1	PF08072|PF00570|PF00271|PF16204|PF09382|PF16124|PF16202|PF00270	HRDC|Helicase_C|RQC|RecQ_Zn_bind|DEAD	HRDC domain|Helicase conserved C-terminal domain|RQC domain|RecQ zinc-binding|DEAD/DEAH box helicase	0.0893720349160714	0.437638353696296	0.3720627	0.09111901	0.18488118	1.67309504961548	1.1466715126219	2.51960228817869	1.36551337884324	1.44733057139845	1.66646120675724	0.642757014612532	2.66254878306238	1.89663545693868	2.19815858011227	0.111335092703116	0.751	0	0
BOLL	ENSG00000152430	boule homolog, RNA binding protein [Source:HGNC Symbol;Acc:HGNC:14273]	1	PF00076	RRM_1	RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain)	0.116439770133929	0.0125323122037037	0	0	0	0	0	0.0122831811380107	0	0	0.0134547131071306	0.00675211677827935	0.00566851142622409	0.000926372561263473	0	0	0.576	0	0
BOP1	ENSG00000261236	block of proliferation 1 [Source:HGNC Symbol;Acc:HGNC:15519]	1	PF00400|PF08145	WD40|BOP1NT	WD domain, G-beta repeat|BOP1NT (NUC169) domain	0.100019460316071	0.021533063787037	0	0	0	3.9903377267692	4.18576745571063	6.31926025061864	4.86958027212793	4.06162068914156	4.25379265917097	4.65792577227638	3.23162986116489	2.05840846242759	2.33721615059301	1.63203204801585	1.32	0	0
BRCA1	ENSG00000012048	BRCA1, DNA repair associated [Source:HGNC Symbol;Acc:HGNC:1100]	1	PF00097|PF00533|PF12820|PF13445|PF15227	zf-C3HC4|BRCT|zf-RING_UBOX|zf-C3HC4_4	Zinc finger, C3HC4 type (RING finger)|BRCA1 C Terminus (BRCT) domain|RING-type zinc-finger|zinc finger of C3HC4-type, RING	0.234375474267857	0.279069449259259	0.35792938	0.21552213	0.351031155	0.966616514240226	1.06990491323923	0.77635291047162	0.857681679481414	0.994649956593526	1.03802171605371	1.45493389871233	1.99567684905977	1.73904873645111	1.89376662161439	0.136620426485377	0.915	0	0
BRIX1	ENSG00000113460	BRX1, biogenesis of ribosomes [Source:HGNC Symbol;Acc:HGNC:24170]	1	PF04427	Brix	Brix domain	0.956817588071429	0.319399622222222	0	0	0	3.69200307625908	3.85481852684661	4.8165177910772	3.84058408284272	3.75527216955433	4.15488290232175	4.89428908238584	2.58802639160327	1.82767538748138	1.95439427079814	1.06292469792249	0.445	0	0
BTAF1	ENSG00000095564	B-TFIID TATA-box binding protein associated factor 1 [Source:HGNC Symbol;Acc:HGNC:17307]	1	PF00271|PF00176|PF12054	Helicase_C|SNF2_N	Helicase conserved C-terminal domain|SNF2 family N-terminal domain	5.79207957857143	3.28851140185185	1.56842936666667	1.8369982	1.279866865	2.41825202703283	2.74480047689284	4.51452312847757	2.77811183267067	2.69992691539237	2.71434883841113	5.31251270678712	3.05499423561784	2.67877004545814	2.6720260049913	1.94208981753243	0.128	0	1
BUB3	ENSG00000154473	BUB3, mitotic checkpoint protein [Source:HGNC Symbol;Acc:HGNC:1151]	1	PF00400	WD40	WD domain, G-beta repeat	0.773529018464286	0.175661318296296	0	0	0	2.96909337622424	3.05899005786362	4.59744774458941	3.06607713206077	3.10807777943275	3.83513583225559	4.38081947562702	3.44478115601722	3.00199326744651	3.04115996932682	1.74944842157334	0.416	0	0
CAPRIN1	ENSG00000135387	cell cycle associated protein 1 [Source:HGNC Symbol;Acc:HGNC:6743]	1	PF12287	NA	NA	3.02451632678571	1.73477980611111	0.622054676666667	0.018576512	0.27062997	4.58477614057569	4.68599619611564	5.61360089826073	4.84101200822609	4.53907814203326	4.73221492101461	5.51141427245564	4.75248922438774	4.93491057456339	4.98685269499182	3.98112595408568	0.311	1	1
CAPRIN2	ENSG00000110888	caprin family member 2 [Source:HGNC Symbol;Acc:HGNC:21259]	1	PF12287|PF00386	C1q	C1q domain	6.58077794642857	4.85937736111111	0.8782811	0	0	3.05691121874757	3.7318023377646	6.10724114210756	4.28288455506105	3.21608696592733	4.22207035524718	4.15339192040663	1.39091396292408	1.17749444759564	1.24196849621565	1.97027548049368	0.381	0	0
CARHSP1	ENSG00000153048	calcium regulated heat stable protein 1 [Source:HGNC Symbol;Acc:HGNC:17150]	1	PF00313	CSD	'Cold-shock' DNA-binding domain	0.0603386438214286	0.0616692276777778	0.0545731376666667	0	0.008357179	3.77669358234159	4.04481375142682	2.70417921603365	3.74957717246	3.59012291771579	3.67397469968596	4.66767076636634	3.84444063468148	3.15727920628632	3.48081417683365	1.95030751329371	1.867	0	0
CASC3	ENSG00000108349	cancer susceptibility candidate 3 [Source:HGNC Symbol;Acc:HGNC:17040]	1	PF09405	Btz	CASC3/Barentsz eIF4AIII binding	2.29207414589286	1.60841931287037	0.54500259	0.06371886	0.17868946	5.70341082797872	5.60949347363555	6.63002535095021	5.72182924012382	5.71372330495952	5.99460687631358	6.41726181705726	3.12827658407144	2.70295495741651	2.82210542253364	2.68143623816048	0.379	0	0
CCAR1	ENSG00000060339	cell division cycle and apoptosis regulator 1 [Source:HGNC Symbol;Acc:HGNC:24236]	1	PF14444|PF02037|PF14443	SAP	SAP domain	5.80896275714286	4.09648047407407	2.3349261	0.5703025	1.20682348	3.77231853328511	3.94991306565329	5.43592690241004	4.01523885162409	3.81451966204557	4.12032705465656	5.19110462970862	3.5179860783473	2.87074967966729	3.24980777832973	2.19328243725234	0.215	0	0
CDC20	ENSG00000117399	cell division cycle 20 [Source:HGNC Symbol;Acc:HGNC:1723]	1	PF00400|PF12894	WD40|ANAPC4_WD40	WD domain, G-beta repeat|Anaphase-promoting complex subunit 4 WD40 domain	0	0	0	0	0	0.477130191166938	0.480385083106146	0.658749836078616	0.559257830455951	0.793336586800938	0.59250822587104	1.09163214011273	4.97411414325375	4.88942593571423	4.55901314381983	0.340837178686385	0.838	0	0
CDC40	ENSG00000168438	cell division cycle 40 [Source:HGNC Symbol;Acc:HGNC:17350]	1	PF00400	WD40	WD domain, G-beta repeat	5.89423715714286	2.12579754444444	0.379577811666667	0	0.129932673	2.30852688683975	2.94409848875052	3.54918182464042	3.25541764360678	2.66922410180621	2.49618876637025	3.57311999630058	2.07611211414556	1.8624995892145	1.75223751287917	1.40970744618276	0.31	0	0
CELF1	ENSG00000149187	CUGBP, Elav-like family member 1 [Source:HGNC Symbol;Acc:HGNC:2549]	1	PF00076	RRM_1	RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain)	6.51262429821429	6.0161832962963	4.6667834	2.4135408	0.87111585	4.05405833738458	4.39927706989484	6.54689368839276	4.35079424196177	4.01546188694375	4.09668353342878	5.23274133059305	3.2362268065619	2.8864507525996	2.70886240339518	2.57513652801888	0.171	0	0
CELF2	ENSG00000048740	CUGBP, Elav-like family member 2 [Source:HGNC Symbol;Acc:HGNC:2550]	1	PF00076	RRM_1	RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain)	10.5225600535714	8.15495882037037	8.77753933333333	10.193878	0.154567687	3.96833041310312	4.20694401454371	5.12525227227377	4.88992127312902	4.04510217768752	3.70036203247041	3.93725021838207	1.46809481417405	1.27700807967209	1.48573745466005	2.49506418189272	0.174	0	1
