Gene name	Ensembl ID	Gene description	Canonical RBD	Pfam ID	Protein Domains	Pfam Description	Excitatory Expression	Inhibitory Expression	Astrocyte Expression	Microglia Expression	Oligodendrocyte Expression	Amygdala expression	Basal ganglia expression	Cerebellum expression	Cortex expression	Hippocampus expression	Hypothalamus expression	Non-brain expression	Accelerated dorsal expression (D2)	NPC expression (D15)	Neural rosette expression (D21)	Neuron expression (D77)	CBC protein expression	MD protein expression	STR protein expression	AMY protein expression	HIP protein expression	V1C protein expression	DFC protein expression	LOEUF	Synapse localization	Autism susceptibility
ABCC4	ENSG00000125257	ATP binding cassette subfamily C member 4 [Source:HGNC Symbol;Acc:HGNC:55]	0	PF00005|PF00664	ABC_tran|ABC_membrane	ABC transporter|ABC transporter transmembrane region	0.806898611071429	0.591704426666667	2.50414193333333	8.554198	0.437347415	1.06230825524028	0.945689723231436	0.318941512350985	0.912292691397117	1.0355042666445	1.44359073931021	1.99626942087056	1.25861642898613	1.54877383280695	1.47068204102775	0.843216803112896	8.57400810065684	8.44042402969291	8.41484941013355	8.36825548900657	8.4508720967658	8.4766429843374	8.44323291274071	0.492	0	0
ABCD3	ENSG00000117528	ATP binding cassette subfamily D member 3 [Source:HGNC Symbol;Acc:HGNC:67]	0	PF00005|PF06472	ABC_tran	ABC transporter	2.40950463714286	1.48382516907407	0.7699148	0	0.493086475	3.1920615701493	3.24586602464282	3.96933010762526	3.15633189127672	3.12975943983354	3.29300255299955	4.00937404784799	1.98281854983208	1.91893316631384	2.25687575997892	1.73596497491627	9.1963699498958	9.44259970584364	9.18566231898958	8.73008475130868	8.91089593677523	9.2724331336942	9.25731209165598	0.435	0	0
ABCE1	ENSG00000164163	ATP binding cassette subfamily E member 1 [Source:HGNC Symbol;Acc:HGNC:69]	0	PF00005|PF04068|PF00037	ABC_tran|RLI|Fer4	ABC transporter|Possible Fer4-like domain in RNase L inhibitor, RLI|4Fe-4S binding domain	1.94945849142857	1.17780590592593	0	0	0.061131578	3.74953426766926	3.88438301472786	4.76108311166281	3.89417750110348	3.88284843539138	4.13932214008559	4.92335838936919	3.93738131517078	3.02418192267665	2.99525591005473	2.35238182501604	8.88851358030389	8.77184250971562	8.58225708959092	8.98969113211537	8.96936899233572	8.60663275552225	8.85417544087337	0.314	0	1
ABCF1	ENSG00000204574|ENSG00000206490|ENSG00000225989|ENSG00000231129|ENSG00000232169|ENSG00000236149|ENSG00000236342	ATP binding cassette subfamily F member 1 [Source:HGNC Symbol;Acc:HGNC:70]	0	PF00005|PF12848	ABC_tran|ABC_tran_Xtn	ABC transporter	1.54554315089286	0.99207709362963	0.131174906666667	0	0.0256660405	3.72517399936731	4.03662201492098	5.302335503282	4.53366301282309	3.75980564605809	4.06865361515093	5.61949517965975	3.83318769845833	2.75941482593412	3.11266674771331	1.94112109047824	8.16613855189849	7.95333556242505	8.14715758174466	7.75289291778269	8.23667669361084	8.09625625547477	8.06135674140925	0.612	0	0
ABCF2	ENSG00000033050	ATP binding cassette subfamily F member 2 [Source:HGNC Symbol;Acc:HGNC:71]	0	PF00005|PF12848	ABC_tran|ABC_tran_Xtn	ABC transporter	0.373765038107143	0.15651406362963	0	0	0	3.72977027309887	4.07790095028878	5.12568209414716	4.90857275875175	3.74318102208449	4.29340727216495	4.84761614512204	3.14241331353805	2.47195631938579	2.84722320353161	1.98524230456348	7.17391429621716	7.18080310888894	7.15698648893035	7.01635108021064	7.21179053888162	7.68606619598494	7.43282625261431	0.478	0	0
ABCF3	ENSG00000161204	ATP binding cassette subfamily F member 3 [Source:HGNC Symbol;Acc:HGNC:72]	0	PF12848|PF00005	ABC_tran_Xtn|ABC_tran	ABC transporter	0.443102936232143	0.236925508907407	0	0	0	4.27167964934258	4.71650808676875	6.38803795664837	5.37419790355257	4.42664047750446	5.06130962195538	5.49100967473745	1.85252193979833	1.21357668268225	1.62254450276965	1.80255682506959	8.00652676331825	8.11334362062446	7.87980669958162	7.71296746252329	8.04314140989538	7.84092023841927	7.89953450668906	0.573	0	0
ABHD12	ENSG00000100997	abhydrolase domain containing 12 [Source:HGNC Symbol;Acc:HGNC:15868]	0	PF12146|PF00561	Hydrolase_4|Abhydrolase_1	Serine aminopeptidase, S33|alpha/beta hydrolase fold	3.43848585714286	3.67357940555556	0.531818143333333	0.93603206	2.1868988	5.44362322646129	5.83613621969125	6.28393565855086	6.24272634527517	5.9950208825003	5.8491711229747	5.13153186756098	2.38028684540518	1.77877546517544	1.98318857717487	2.02454760635994	8.49922628890638	8.85161337268558	8.47385984170697	7.86787573278732	8.74733625151824	8.53383377837762	8.47335777562794	0.763	0	0
ABLIM1	ENSG00000099204	actin binding LIM protein 1 [Source:HGNC Symbol;Acc:HGNC:78]	0	PF16182|PF02209|PF00412	AbLIM_anchor|VHP|LIM	Putative adherens-junction anchoring region of AbLIM|Villin headpiece domain|LIM domain	7.28050788214286	8.04967145925926	10.3218453333333	0.5104982	0.549715275	4.95130336787318	5.11527675211478	8.76863261562075	5.46932923336704	4.72090225765008	4.99071439118385	5.81808106148489	2.30915070755913	2.5160103852089	2.54010932663159	3.03054756424585	9.21464162275162	8.67068690072663	8.70665295364663	8.75274646229434	8.66153564399791	8.84520985952027	8.90611353210646	0.326	1	0
ABT1	ENSG00000146109	activator of basal transcription 1 [Source:HGNC Symbol;Acc:HGNC:17369]	0	NA	NA	NA	0.00214959571428571	0	0	0	0	2.60356819096519	2.84383816066173	4.24840200614344	3.18548917571939	2.67228276271048	2.88659891915176	4.22280456104526	2.44708819823753	2.20757206162827	2.47226214682507	1.11182187646113	8.57400810065684	8.44042402969291	8.41484941013355	8.36825548900657	8.4508720967658	8.4766429843374	8.44323291274071	1.015	0	0
AC004381.6	ENSG00000005189	Putative RNA exonuclease NEF-sp  [Source:UniProtKB/Swiss-Prot;Acc:Q96IC2]	1	PF00076|PF00929	RRM_1|RNase_T	RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain)|Exonuclease	0.00602372378571429	0.0113204332962963	0	0	0	1.11261340165438	1.1114900966059	2.55831539651349	1.57519613580375	0.790766200355805	1.28350104834733	1.79960542245267	0.738524789883408	0.74040916493029	0.825812221618507	0.509820268758901	8.57400810065684	8.44042402969291	8.41484941013355	8.36825548900657	8.4508720967658	8.4766429843374	8.44323291274071	0.856	0	0
AC013461.1	ENSG00000091436	Mitogen-activated protein kinase kinase kinase MLT  [Source:UniProtKB/Swiss-Prot;Acc:Q9NYL2]	1	PF00536|PF07714	SAM_1|Pkinase_Tyr	SAM domain (Sterile alpha motif)|Protein tyrosine kinase	0.118604225857143	0.196853427962963	0.261970011333333	0	0.0206052625	2.0578626593887	2.22706330583585	1.74338355337827	1.95263549420085	2.12820430227023	2.35397532100765	4.57281086359803	0.684034065864409	0.979018381298252	1.00154220565998	0.641724996435244	8.57400810065684	8.44042402969291	8.41484941013355	8.36825548900657	8.4508720967658	8.4766429843374	8.44323291274071	0.681	0	0
ACAA2	ENSG00000167315	acetyl-CoA acyltransferase 2 [Source:HGNC Symbol;Acc:HGNC:83]	0	PF02803|PF00108	Thiolase_C|Thiolase_N	Thiolase, C-terminal domain|Thiolase, N-terminal domain	0	0.000810564666666667	0	0	0	4.66903243646956	4.9480728216679	3.59868081989467	4.71939155915071	4.25370947119468	4.58059776355584	5.28823673275005	3.39064463341569	2.723357615615	2.96974728589632	0.548626060904517	9.13639187994766	9.43841999752946	9.19171915148227	9.15574195112599	9.16151891910945	9.25118790600173	9.24204929069395	1.306	0	0
ACACA	ENSG00000275176|ENSG00000278540	acetyl-CoA carboxylase alpha [Source:HGNC Symbol;Acc:HGNC:84]	0	PF08326|PF00364|PF01039|PF00289|PF02786|PF02785	ACC_central|Biotin_lipoyl|Carboxyl_trans|CPSase_L_chain|CPSase_L_D2|Biotin_carb_C	Acetyl-CoA carboxylase, central region|Biotin-requiring enzyme|Carboxyl transferase domain|Carbamoyl-phosphate synthase L chain, N-terminal domain|Carbamoyl-phosphate synthase L chain, ATP binding domain|Biotin carboxylase C-terminal domain	7.52184070535714	7.16936966481481	6.4568407	0.85848755	4.9989959	3.48193179034181	3.44544067818426	4.40084870398949	4.3410748829945	3.43643238590876	3.66979781149668	3.69646127742701	3.44261230217235	3.09867449311676	2.95033540346949	2.12838591669451	8.57400810065684	8.44042402969291	8.41484941013355	8.36825548900657	8.4508720967658	8.4766429843374	8.44323291274071	0.656212345679012	0	0
ACAD9	ENSG00000177646	acyl-CoA dehydrogenase family member 9 [Source:HGNC Symbol;Acc:HGNC:21497]	0	PF02771|PF00441|PF02770	Acyl-CoA_dh_N|Acyl-CoA_dh_1|Acyl-CoA_dh_M	Acyl-CoA dehydrogenase, N-terminal domain|Acyl-CoA dehydrogenase, C-terminal domain|Acyl-CoA dehydrogenase, middle domain	0.69043833625	0.361956981759259	0.23924384	0.1258363	0.130176385	3.54654878886533	3.75386122074663	4.99847760460717	4.21422585265205	3.43715714741747	3.97884542842391	4.80200187910548	1.87519599399963	1.75882149171798	2.09874609265834	1.50175682086992	8.64739290606717	8.8909103896596	8.80738258070723	8.32349160919972	8.40844054589157	8.7525306620598	8.70659973564973	0.814	0	0
ACADM	ENSG00000117054	acyl-CoA dehydrogenase, C-4 to C-12 straight chain [Source:HGNC Symbol;Acc:HGNC:89]	0	PF02770|PF00441|PF02771	Acyl-CoA_dh_M|Acyl-CoA_dh_1|Acyl-CoA_dh_N	Acyl-CoA dehydrogenase, middle domain|Acyl-CoA dehydrogenase, C-terminal domain|Acyl-CoA dehydrogenase, N-terminal domain	4.9573753125	2.65260893944444	0.218296024666667	0.0055417405	0.111026315	4.42390082530867	4.66399920616091	5.24235670096973	4.58439733447786	4.20330297159207	4.75085836497074	5.04281065795317	2.67192712586204	2.26232501477623	2.6183414391946	1.82965957013676	9.00460755325327	8.91692290542534	8.84303049424952	8.83359820477038	8.80425621092006	8.94620044834956	8.76853060013775	1.153	0	0
ACADVL	ENSG00000072778	acyl-CoA dehydrogenase, very long chain [Source:HGNC Symbol;Acc:HGNC:92]	0	PF02770|PF02771|PF00441	Acyl-CoA_dh_M|Acyl-CoA_dh_N|Acyl-CoA_dh_1	Acyl-CoA dehydrogenase, middle domain|Acyl-CoA dehydrogenase, N-terminal domain|Acyl-CoA dehydrogenase, C-terminal domain	5.76767234642857	4.14871357407407	6.8856808	0	0.10630502445	6.74938677271865	6.96974337333462	8.238192141114	7.15266004635255	6.81656130924323	7.03446885159095	8.66831062769968	2.93642195280031	3.47863133479262	3.5543439129674	3.02136419344323	8.97749377442707	9.22391041842479	9.05486892141116	8.99232473850724	8.99996692242249	9.05297232466208	9.01615787758638	1.05	0	0
ACAT1	ENSG00000075239	acetyl-CoA acetyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:93]	0	PF02803|PF00108	Thiolase_C|Thiolase_N	Thiolase, C-terminal domain|Thiolase, N-terminal domain	3.93306980178571	2.63245092037037	0.258012676666667	0.07001779	0.210395365	3.99743694091395	4.23394556441092	4.41161945087474	4.18706301031437	3.79266797720268	4.16496322587145	5.1873520732005	1.75856183835893	1.44818627003075	1.64231771155364	1.45053578328664	9.94278951652207	9.97526595937833	9.9307971775163	9.8766332088087	9.81985695729083	9.92222508180997	9.89804667792132	1.051	0	0
ACAT2	ENSG00000120437	acetyl-CoA acetyltransferase 2 [Source:HGNC Symbol;Acc:HGNC:94]	0	PF00108|PF02803	Thiolase_N|Thiolase_C	Thiolase, N-terminal domain|Thiolase, C-terminal domain	1.08112947794643	0.355268621407407	0.0827380966666667	0	0	3.81383248612881	3.45292220475419	4.56726554544301	4.46080152832202	3.86870651730961	4.45569545101576	3.96247498920616	4.95412711195357	4.21356138970059	4.78145858322688	2.87090040818974	9.48407860646967	9.68898934268704	9.57259550839623	9.40505919593769	9.56491900859772	9.53657649162717	9.6781227315079	1.143	0	0
ACBD3	ENSG00000182827	acyl-CoA binding domain containing 3 [Source:HGNC Symbol;Acc:HGNC:15453]	0	PF13897|PF00887	ACBP	Acyl CoA binding protein	2.29210937767857	1.30920979759259	0.339015096666667	0.24356383	0.35334801	3.43209486709265	3.4652339956995	4.64456582117983	3.55273364274599	3.33554185205131	3.83302162244608	5.09558690799772	2.62523455581982	2.88402248243133	2.56198645711122	2.50510217928431	7.81126841865866	7.47389057437005	7.26243233658877	7.35681771474016	7.32713572135997	7.43236075404184	7.48662956664449	0.539	0	0
ACIN1	ENSG00000100813	apoptotic chromatin condensation inducer 1 [Source:HGNC Symbol;Acc:HGNC:17066]	1	PF16294|PF02037	RSB_motif|SAP	RNSP1-SAP18 binding (RSB) motif|SAP domain	3.9082615125	2.78847025740741	1.65918553333333	0.6843416	0.99916147	4.41891853412011	4.65879986805646	6.36061096754115	4.94107813303374	4.52717670657248	4.83997469943944	6.25409890083903	3.61393711590613	2.89754267761842	3.20722921561904	2.56369313082582	8.7184103208017	7.35739991855021	7.16053096540156	7.38959215006846	7.77851673686415	7.93448689227387	7.87617647625499	0.201	0	0
ACLY	ENSG00000131473	ATP citrate lyase [Source:HGNC Symbol;Acc:HGNC:115]	0	PF02629|PF00285|PF00549|PF16114	CoA_binding|Citrate_synt|Ligase_CoA|Citrate_bind	CoA binding domain|Citrate synthase|CoA-ligase|ATP citrate lyase citrate-binding	0.945198168035714	0.988839684074074	0.317198216666667	0.13405694	0.193385935	4.08795497090577	4.45721997779422	5.40192053270671	4.68713349331778	4.20275465065212	5.29392588256585	5.49284661074216	5.89648474492598	5.05544624736374	5.23676100828691	3.75376861272087	9.84044506902453	9.92171528535368	9.92527696164623	9.70140236794551	9.75475249184615	9.74401239521297	9.70217792710993	0.377	0	0
ACO1	ENSG00000122729	aconitase 1 [Source:HGNC Symbol;Acc:HGNC:117]	0	PF00694|PF00330	Aconitase_C|Aconitase	Aconitase C-terminal domain|Aconitase family (aconitate hydratase)	1.73248685032143	1.1650924882037	0.91294349	0	0.0535	2.98984201361529	3.1285639634541	4.28784902515229	3.18753973508029	2.6863324364157	3.36486094245398	4.37776233705482	2.32939850797775	1.94417422481241	1.98704192092081	1.11994316456333	9.29759524595714	9.2008888093889	9.18569775946711	9.02802330084639	9.25929089378682	9.20434886538957	9.21934285843697	0.932	0	0
ACO2	ENSG00000100412	aconitase 2 [Source:HGNC Symbol;Acc:HGNC:118]	0	PF00330|PF00694	Aconitase|Aconitase_C	Aconitase family (aconitate hydratase)|Aconitase C-terminal domain	1.05951323591071	0.479531822814815	0.513541698	0	0.03213158	6.58631739651753	6.27087369035133	6.71254075670359	7.30237389132976	6.17206741503421	6.08387498371266	5.78742462830439	3.12095017375624	3.08549935800821	3.11341880767383	3.32720576188073	10.3520072276181	10.4388715734798	10.4853335760715	10.2698146466367	10.3228687181165	10.3892418934048	10.3305682234116	0.417	0	0
ACOT7	ENSG00000097021	acyl-CoA thioesterase 7 [Source:HGNC Symbol;Acc:HGNC:24157]	0	PF03061	4HBT	Thioesterase superfamily	5.01659889107143	3.93040258962963	0.20346515	0.07654804	0.375290675	5.15266612993854	5.28178540256523	6.35360118082267	6.73595535401226	5.16799209882215	6.28760896346244	4.21333172698607	2.60860625407395	2.51112861773772	2.48059357288041	2.60068947368	9.93347599747303	10.1666531629695	10.2097047727489	10.0968951220345	10.1618831150753	10.0872621190766	10.1389934282584	0.434	0	0
ACP1	ENSG00000143727	acid phosphatase 1, soluble [Source:HGNC Symbol;Acc:HGNC:122]	0	PF01451	LMWPc	Low molecular weight phosphotyrosine protein phosphatase	2.96277865553571	1.55523262166667	0	0	0	4.85083442015486	4.87077404164266	5.5480126936815	5.35420176891681	4.77641987211067	5.16548589922664	5.47840561405288	3.71120699434985	3.56084157322249	3.7803281824334	2.694595749992	9.1975106017238	9.2097672327406	9.25135775771663	9.22813138616589	9.22710587680966	9.18759416861147	9.24434895795433	1.802	0	0
ACSL3	ENSG00000123983	acyl-CoA synthetase long-chain family member 3 [Source:HGNC Symbol;Acc:HGNC:3570]	0	PF00501	AMP-binding	AMP-binding enzyme	6.25688902321429	6.32826255740741	2.13820196666667	0.043451957	0.85204842	4.61758647583877	4.76768922336908	5.24131776017999	5.02186611183651	4.45258884583579	4.86675964683325	4.51925253141971	3.64274427977041	3.11506842479331	3.63445632858147	3.35796789772464	9.07397447042412	9.32394020879236	9.13925964603904	8.96501019299121	9.14043641435579	9.2742637153424	9.29023995912501	0.55	0	0
ACTG1	ENSG00000184009	actin gamma 1 [Source:HGNC Symbol;Acc:HGNC:144]	0	PF00022	Actin	Actin	3.0409227775	2.22319346518519	0.534146063333333	0	0.194681441	9.18413397407433	9.29094385712905	9.11901502192296	9.59855875074878	9.11012046978163	9.49209552887577	10.6030142751119	8.33925631474377	8.86947751399114	9.00986279830425	7.65452298221755	10.0026779292324	9.73944028693685	10.1040875628366	10.2472002922887	9.86538452909001	10.0185728358882	10.3549780378369	0.858	1	0
ACTN1	ENSG00000072110	actinin alpha 1 [Source:HGNC Symbol;Acc:HGNC:163]	0	PF08726|PF00435|PF00307|PF13833	EFhand_Ca_insen|Spectrin|CH|EF-hand_8	Ca2+ insensitive EF hand|Spectrin repeat|Calponin homology (CH) domain|EF-hand domain pair	5.75259035892857	1.87479907298148	0.01126089	0	0	3.7835614214378	5.06409387754629	4.07781551901294	5.22529035638077	3.84852780078643	3.98087530731956	6.46435950506756	3.52104610777224	3.29066831679599	3.11370171292257	1.14712423952425	9.61273573703475	9.87081981958762	10.3757974946516	10.2188283781571	10.1253920032939	10.1956021403775	10.313146726074	0.213	1	0
ACTN4	ENSG00000130402|ENSG00000282844	actinin alpha 4 [Source:HGNC Symbol;Acc:HGNC:166]	0	PF00435|PF08726|PF00307|PF13499	Spectrin|EFhand_Ca_insen|CH|EF-hand_7	Spectrin repeat|Ca2+ insensitive EF hand|Calponin homology (CH) domain|EF-hand domain pair	2.10022204382143	0.456160575018519	0.139095983333333	0.025541741	1.2472786	5.29490742158799	5.79513963174287	6.26360442074375	6.28814812305601	5.49591257368566	5.56680602300073	7.81375554307721	3.97922910650394	3.76739979930085	3.9713515471733	2.22689368119466	9.02785777784679	8.72265840817245	9.17944497947816	9.05920417718338	9.09181457974983	9.38926429102449	9.59364284285835	0.099	1	1
ACTR10	ENSG00000131966	actin-related protein 10 homolog [Source:HGNC Symbol;Acc:HGNC:17372]	0	PF00022	Actin	Actin	4.97332180357143	3.51740761111111	0.438770853333333	0.07346359	0.46288576	4.64886230214537	4.92538709237824	5.95410439382319	5.39605670983462	4.62287179879692	5.34047325498715	5.46409970177351	1.82490782372335	1.55118634969992	2.36005690722556	2.71601630538068	8.80926652719501	9.04998029190048	9.00309648861598	8.66676366788845	8.94468236437624	8.9680952109019	9.00941323727076	0.658	0	0
ACTR2	ENSG00000138071	ARP2 actin related protein 2 homolog [Source:HGNC Symbol;Acc:HGNC:169]	0	PF00022	Actin	Actin	7.15562255892857	5.56813757962963	0.544391186666667	2.4683273	0.604945085	5.74640145396834	5.82359270324205	6.51002038014614	6.23574237499075	5.65468757800051	5.93930886730835	6.17148107036269	4.18176267655238	4.06448963493786	4.39919832012287	3.80931525148877	9.80461781022139	9.82672438499505	9.92819268864061	9.92467118653192	10.0413006315157	9.89946415138945	9.89512284809909	0.195	1	0
ACTR3	ENSG00000115091	ARP3 actin related protein 3 homolog [Source:HGNC Symbol;Acc:HGNC:170]	0	PF00022	Actin	Actin	3.89713186607143	1.70684902111111	0.118078416666667	1.1075267	0.49837199	4.21345616026946	4.26124871746687	4.78533083525673	4.34296712892478	4.32699027637502	4.51152496666624	5.55575788176364	2.82045078022304	2.75117844193565	3.08319227943101	2.98027991896108	10.0556973266428	10.0049330682508	10.0272831035177	10.0269935596866	10.175113636273	9.97534572607756	10.0245770870123	0.118	1	0
ADAD1	ENSG00000164113	adenosine deaminase domain containing 1 [Source:HGNC Symbol;Acc:HGNC:30713]	1	PF00035|PF02137	dsrm|A_deamin	Double-stranded RNA binding motif|Adenosine-deaminase (editase) domain	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.57400810065684	8.44042402969291	0	0	8.4508720967658	0	0	0.511	0	0
ADAD2	ENSG00000140955	adenosine deaminase domain containing 2 [Source:HGNC Symbol;Acc:HGNC:30714]	1	PF00035|PF02137	dsrm|A_deamin	Double-stranded RNA binding motif|Adenosine-deaminase (editase) domain	0	0	0	0	0	1.09853409560478	0.627616642819912	0.182586792611432	1.20667447787018	0.792339803847581	0.384180251483822	0.460494100088656	0.0661499204186051	0	0	0.00297933266278485	8.57400810065684	8.44042402969291	8.41484941013355	8.36825548900657	8.4508720967658	8.4766429843374	8.44323291274071	1.144	0	0
ADAR	ENSG00000160710	adenosine deaminase, RNA specific [Source:HGNC Symbol;Acc:HGNC:225]	1	PF02295|PF00035|PF02137	z-alpha|dsrm|A_deamin	Adenosine deaminase z-alpha domain|Double-stranded RNA binding motif|Adenosine-deaminase (editase) domain	4.71528586071429	4.50506034444444	0.693768533333333	0.040925268	0.568793695	5.38919851960184	5.59242115632346	6.78871180833409	6.12495876261655	5.23353915199857	5.92265218771972	6.43111144100442	4.59428570782247	3.3510776767146	3.57886877976687	3.26262979964755	9.10112349898467	8.44065281337264	8.06813882439082	8.16962314803278	8.03500243584638	8.66543062110161	8.59713685945288	0.42	0	0
