"Ensembl ID","HGNC ID","Gene name","Gene description","Gene ID","UniProt AC","UniProt ID","Domain","GeneTag","GeneDesc","Function","Modification","PMID Function","Complex name","Target","Specific target","Product","PMID target","Comment","Excitatory Expression","Inhibitory Expression","Astrocyte Expression","Microglia Expression","Oligodendrocyte Expression","Amygdala expression","Basal ganglia expression","Cerebellum expression","Cortex expression","Hippocampus expression","Hypothalamus expression","Non-brain expression","Accelerated dorsal expression (D2)","NPC expression (D15)","Neural rosette expression (D21)","Neuron expression (D77)","LOEUF","Synapse localization","Autism susceptibility","predictions"
"ENSG00000049618","HGNC:18040","ARID1B","AT rich interactive domain 1B (SWI1-like)","57492","Q8NFD5","ARI1B_HUMAN","ARID PF01388 1050-1140, DUF3518 PF12031 1926-2182, Pfam-B_60945 PB060945 291-369, Pfam-B_7257 PB007257 371-449","ARID","#","Histone modification write","Histone ubiquitination","20086098","BAF, nBAF, npBAF, PBAF, SWI/SNF-like_EPAFa, SWI/SNF-like EPAFB, SWI/SNF BRM-BRG1","histone, DNA","H2BK120, DNA motif","#","20086098","The characteristic member of human SWI/SNF-A is BAF250/ARID1, of which there are two isoforms, BAF250a/ARID1a and BAF250b/ARID1b. The immunopurified BAF250b E3 ubiquitin ligase was found to target histone H2B at lysine 120 for monoubiquitination in vitro.",8.22126032142857,8.39895391666667,7.16146843333333,6.5942554,7.593555,1.91289508305353,2.06398088529046,3.68491409138369,2.3226550300157,1.99698522633621,2.0168457192885,3.19545469397896,0.873207091153053,0.727830158658424,0.694429564890641,0.71753425168231,0.102,0,1,0.785284309626171
"ENSG00000078403","HGNC:16063","MLLT10","myeloid/lymphoid or mixed-lineage leukemia (trithorax homolog, Drosophila); translocated to, 10","8028","P55197","AF10_HUMAN","PHD_2 PF13831 36-72, Pfam-B_12689 PB012689 541-619, Pfam-B_12729 PB012729 821-879, Pfam-B_4074 PB004074 234-538, Pfam-B_6933 PB006933 721-819, Pfam-B_9291 PB009291 621-719, zf-HC5HC2H_2 PF13832 80-197","PHF","Zinc fingers, PHD-type","Histone modification write cofactor","Histone methylation","20203130","#","histone","H3K79","H3K79me3","20203130","MLLT10 =AF10 plays an important role in Dot1’s HMTase activity through either DotCom stability, catalytic activity, or the recruitment of the complex to chromatin.",7.19871598214286,6.44323325555556,6.5409322,2.8255882,3.8840158,2.38155194907462,2.63590062648491,4.4259224934226,3.01735718720461,2.42498387829516,2.73212589987517,4.36717533792859,2.03813808783957,1.89319615839135,2.02047334783678,1.50231065465468,0.182,0,0,0.779366139524305
"ENSG00000146247","HGNC:15673","PHIP","pleckstrin homology domain interacting protein","55023","Q8WWQ0","PHIP_HUMAN","Bromodomain PF00439 1165-1251 1325-1409, Pfam-B_15784 PB015784 743-864, Pfam-B_60538 PB060538 1-77, WD40 PF00400 174-211 215-253 257-298 355-393 456-495","WDR, DCAF","WD repeat domain containing, DDB1 and CUL4 associated factors","Histone modification read","#","22464331","#","histone","H3","#","22464331","Fig. 5 in the reference.",7.77412983035714,7.99632978333333,4.92464306666667,2.5070286,5.73199385,2.25291818939948,2.37332804087606,4.53892920265908,2.46320653665837,2.29111727371182,2.5958306406869,3.81994402657253,2.93634536982259,2.98304527800268,2.70135208268454,1.86599693926154,0.113,0,1,0.778991413799988
"ENSG00000141027","HGNC:7672","NCOR1","nuclear receptor corepressor 1","9611","O75376","NCOR1_HUMAN","Myb_DNA-binding PF00249 625-670, Pfam-B_4054 PB004054 1242-1723, Pfam-B_670 PB000670 1725-1983, Pfam-B_7837 PB007837 1-159","#","#","Histone modification erase cofactor","Histone acetylation","14527417","#","histone","#","#","#","UniProt: Part of a complex which promotes histone deacetylation and the formation of repressive chromatin structures which may impede the access of basal transcription factors.",7.69752784285714,7.52822358518519,6.48207533333333,2.2648578,5.249315,3.4256633946162,3.48148753369391,5.0160193244376,3.97028308813351,3.42249271624377,3.50806095931601,4.60799306137445,2.32673601349264,2.02317392862823,2.17097480408257,1.98940993431275,0.175,0,1,0.772639273192322
"ENSG00000055609","HGNC:13726","KMT2C","lysine (K)-specific methyltransferase 2C","58508","Q8NEZ4","KMT2C_HUMAN","FYRC PF05965 4606-4693, FYRN PF05964 4550-4604, PHD PF00628 390-438 959-1010 1009-1060, Pfam-B_16694 PB016694 2536-2572, Pfam-B_19991 PB019991 1874-1906, Pfam-B_43 PB000043 3044-3095, Pfam-B_49476 PB049476 1-159, SET PF00856 4782-4887, zf-HC5HC2H PF13771 252-331 4429-4507","KMT, PHF","Chromatin-modifying enzymes / K-methyltransferases, Zinc fingers, PHD-type","Histone modification write","Histone methylation","20937768","MLL2/3, COMPASS-like MLL3,4","histone","H3K4","H3K4me","20937768","In humans, multiple Set1-like HMT complexes with H3K4 HMT activities have been identified. Each of these complexes contains the SET domain-containing homologs of yeast Set1, including human Set1 (hSet1), MLL1 (mixed lineage leukemia 1, also known as MLL, HRX, ALL1, or KMT2A), MLL2 (mixed-lineage leukemia 2, also known as HRX2 or KMT2B), MLL3 (mixed-lineage leukemia 3, also known as HALR or KMT2C), and MLL4 (mixed-lineage leukemia 4, also known as ALR or KMT2D), which carry the enzymatic activity for the associated complexes.",7.26131921071429,6.83998747222222,7.74584693333333,4.972861,7.196855,2.73100941242073,2.99411715498196,4.70319485276525,3.01478196764249,2.78167025299659,2.88962345042152,4.01219320214644,1.17478603590565,1.23286488925351,1.16053072375913,1.3642619356625,0.122,0,1,0.771683533971316
"ENSG00000084676","HGNC:7668","NCOA1","nuclear receptor coactivator 1","8648","Q15788","NCOA1_HUMAN","DUF1518 PF07469 1149-1205 1212-1268, Nuc_rec_co-act PF08815 924-973, PAS PF00989 112-183, PAS_11 PF14598 259-370, SRC-1 PF08832 625-708","KAT, bHLH","Chromatin-modifying enzymes / K-acetyltransferases, Basic helix-loop-helix proteins","Histone modification write","Histone acetylation","9296499","#","histone","H3, H4","#","9296499","The HAT activity of SRC-1=NCOA1 maps to its carboxy-terminal region and is primarily specific for histones H3 and H4. Acetylation by SRC-1 and PCAF of histones bound at specific promoters may result from ligand binding to steroid receptors and could be a mechanism by which the activation functions of steroid receptors and associated coactivators enhance formation of a stable preinitiation complex, thereby increasing transcription of specific genes from transcriptionally repressed chromatin templates.",8.14751607857143,8.62199257407407,8.89666066666667,2.9882948,5.97812605,4.41808197795313,4.49425558654498,5.42119973108564,4.8016708564403,4.34165135607764,4.39543988059159,4.73558174680787,1.35974985714932,0.993030233212349,1.29795330208434,2.08159788764283,0.247,0,1,0.765895338134464
"ENSG00000135365","HGNC:24156","PHF21A","PHD finger protein 21A","51317","Q96BD5","PF21A_HUMAN","AT_hook PF02178 425-436, PHD PF00628 490-535, Pfam-B_15568 PB015568 536-649, Pfam-B_7050 PB007050 1-349","PHF","Zinc fingers, PHD-type","Histone modification erase cofactor","Histone methylation","16140033","BHC, LSD-CoREST","histone","#","#","16140033","LSD1 is a recently identified human lysine (K)-specific histone demethylase. LSD1 is associated with HDAC1/2; CoREST, a SANT domain-containing corepressor; and BHC80=PHF21A, a PHD domain-containing protein, among others.",6.50703267857143,5.11420552777778,5.17710653333333,1.0785766,3.3785353,3.52634430004106,3.62451620932778,4.69792112791979,3.55842683609935,3.39906716133396,3.53030800808219,4.56443914339827,1.01129447982524,1.07068034092288,1.03825976682767,1.4925233552485,0.08,0,1,0.765659738248636
"ENSG00000101040","HGNC:9397","ZMYND8","zinc finger, MYND-type containing 8","23613","Q9ULU4","PKCB1_HUMAN","Bromodomain PF00439 157-240, DUF3544 PF12064 412-622, PHD PF00628 90-133, PWWP PF00855 275-349, zf-MYND PF01753 1028-1062","ZMYND, PHF","Zinc fingers, MYND-type, """"Zinc fingers, PHD-type""""","Histone modification erase cofactor","Histone acetylation","25123934","#","histone","#","#","#","ZMYND8 is part of the NuRD complex.",6.96876085892857,6.55605202222222,4.58658423333333,1.5062166,5.017556,3.63257068436327,3.72409360272345,4.84468442586092,4.2460279805281,3.67357903658787,3.98410624461272,4.2446359352838,3.34502291479984,2.59582275126901,2.43313948285866,2.14430553614188,0.131,0,1,0.764363978361115
"ENSG00000147548","HGNC:12767","WHSC1L1","Wolf-Hirschhorn syndrome candidate 1-like 1","54904","Q9BZ95","NSD3_HUMAN","PWWP PF00855 268-378 958-1047, Pfam-B_7848 PB007848 619-671, SET PF00856 1156-1262","#","#","Chromatin remodeling cofactor, TF","#","16682010","#","histone","H3K4, H3K27","#","16682010","WHISTLE =WHSC1L1 di-methylates H3K4 and di-, and tri-methylates H3K27 of histones.",7.84793623392857,7.93275425740741,5.18093666666667,0.55645907,3.80177015,3.12360164119288,3.21478847895092,5.14786225735434,3.60981404906209,3.19563106949666,3.52947115987626,4.1377576124318,1.7812371075977,2.2199910880328,2.25951272940108,2.35623444963564,0.142,0,0,0.764139274623053
"ENSG00000054267","HGNC:15550","ARID4B","AT rich interactive domain 4B (RBP1-like)","51742","Q4LE39","ARI4B_HUMAN","ARID PF01388 304-394, Pfam-B_15110 PB015110 771-828, RBB1NT PF08169 166-264, Tudor-knot PF11717 569-626","ARID","#","Histone modification write cofactor","Histone acetylation","15640446","mSin3A","DNA","DNA motif","#","15640446","ARID4 subfamily DNA-binding activity is represented here by RBP1 (ARID4A). Amino acid identity within the ARID consensus is 75% between RBP1 (ARID4A) and RBP1L1 (ARID4B), the only other member of this class. Both RBP1 and RBP1L1/SAP180 have been found in association with the mSIN3-histone deacetylase complex.",7.4652686375,7.24010529259259,5.00173833333333,1.7377402,6.8761096,3.04418250856729,3.27817362387378,4.95225434644375,3.3598795507314,3.21988252620616,3.51247974691963,4.39239299053986,1.66313940697839,1.60621239205203,1.90496735825272,1.66848747325802,0.187,0,0,0.763228597554192
"ENSG00000143442","HGNC:18801","POGZ","pogo transposable element with ZNF domain","23126","Q7Z3K3","POGZ_HUMAN","DDE_1 PF03184 1117-1304, HTH_Tnp_Tc5 PF03221 1024-1085, Pfam-B_10413 PB010413 693-771, Pfam-B_10981 PB010981 1-69, Pfam-B_5179 PB005179 796-843, Pfam-B_6754 PB006754 773-795","#","#","Histone modification read","Histone methylation","20562864, 20850016","#","histone","H3K9me3","#","#","Part of a H3K9me3 reader complex; modulates dissociation of HP1alpha.",6.59461094285714,6.02965206296296,6.30429816666667,1.0634875,6.84469055,4.31543580803814,4.60523651738047,6.91614220616403,4.91127453000793,4.49648791545605,4.68222494107026,5.49714927496586,1.90338273730389,1.96010876245173,1.72657509343887,1.513633880112,0.119,0,1,0.761780469190501
"ENSG00000114861","HGNC:3823","FOXP1","forkhead box P1","27086","Q9H334","FOXP1_HUMAN","Fork_head PF00250 465-555, Pfam-B_24123 PB024123 1-79","FOX","Forkhead boxes","TF","#","22406422","#","histone, DNA","DNA motif","#","#","Recruitment of specific chromatin-modifying complexes with HDAC activity.",8.52558311071428,5.38396305,3.9836634,1.502,6.72739225,1.69870300011807,3.12371171445262,2.18855601073191,2.72330735121516,1.97068066777878,1.75646825706384,3.69119913491246,0.708092840283087,1.02359573773882,1.46502014016658,1.21611740323454,0.175,0,1,0.761510881076965
"ENSG00000104517","HGNC:16806","UBR5","ubiquitin protein ligase E3 component n-recognin 5","51366","O95071","UBR5_HUMAN","E3_UbLigase_EDD PF11547 178-230, HECT PF00632 2497-2799, PABP PF00658 2376-2449, Pfam-B_10556 PB010556 1381-1499, Pfam-B_14783 PB014783 601-649, Pfam-B_18259 PB018259 22-174, Pfam-B_5733 PB005733 1011-1149, Pfam-B_664 PB000664 651-1009, Pfam-B_8293 PB008293 1591-1748, Pfam-B_8878 PB008878 1249-1379, zf-UBR PF02207 1177-1248","UBR","Ubiquitin protein ligase E3 component n-recognins","Chromatin remodeling, Histone modification write cofactor","Histone ubiquitination","22884692","#","histone","H2A, H2AX","H2Aub, H2AXub","22884692","Excessive spreading of a DNA-damage-associated chromatin modification can occur. TRIP12 and UBR5 are two suppressors of such spreading.",7.54132605178571,7.17573708518518,7.14268116666667,1.0527225,3.44280615,3.26344160914903,3.52129388843943,5.13349160290455,3.81191281392656,3.32453989272658,3.50609411190632,5.03792686396226,3.85117968628581,2.91473800148642,2.81320761219308,2.34849691185899,0.073,0,1,0.759844939580563
"ENSG00000187109","HGNC:7637","NAP1L1","nucleosome assembly protein 1-like 1","4673","P55209","NP1L1_HUMAN","NAP PF00956 75-346","#","#","Histone chaperone","#","18226242","#","histone","#","#","18226242","Human Nucleosome Assembly Protein-1 (hNAP-1) =NAP1L1 is known to act as a histone chaperone that shuttles histones H2A/H2B into the nucleus, assembles nucleosomes and promotes chromatin fluidity, thereby affecting transcription of several cellular genes.",7.88221309107143,7.44147127777778,2.20180453333333,0.16145907,0.96320075,5.10016190771267,5.28711948319808,5.42546266173986,4.95393567096619,5.08886242498421,5.28091920699992,5.97021175148893,4.2980256361,4.31564437760499,4.37099582470039,2.32461647397661,0.184,0,0,0.758966154167603
"ENSG00000171634","HGNC:3581","BPTF","bromodomain PHD finger transcription factor","2186","Q12830","BPTF_HUMAN","Bromodomain PF00439 2936-3019, DDT PF02791 240-300, PHD PF00628 392-437 2869-2918, Pfam-B_14861 PB014861 2113-2229, Pfam-B_26081 PB026081 91-205, Pfam-B_911 PB000911 1922-2111, Pfam-B_94218 PB094218 1-89, WHIM1 PF15612 339-388","PHF","Zinc fingers, PHD-type","Chromatin remodeling","#","18974875","NuRF","chromatin","#","#","18974875","Chromatin remodeling protein Bptf (Bromodomain PHD-finger Transcription Factor), the largest subunit of NURF (Nucleosome Remodeling Factor) in a mammal.",7.07444872678571,7.25601854814815,7.5211544,4.88112,7.1031572,2.9567090641002,3.17487695952016,5.2030131707745,3.18232998939485,3.05749186279278,3.27471639267263,4.12186087095799,2.86776405207909,2.03320602372087,2.05776869488317,1.91522459191272,0.099,0,0,0.755967925632081
"ENSG00000123636","HGNC:963","BAZ2B","bromodomain adjacent to zinc finger domain, 2B","29994","Q9UIF8","BAZ2B_HUMAN","Bromodomain PF00439 2069-2151, DDT PF02791 1087-1149, MBD PF01429 739-813, PHD PF00628 1933-1981, Pfam-B_10350 PB010350 521-649, Pfam-B_12038 PB012038 1200-1479, Pfam-B_13066 PB013066 91-399, Pfam-B_1587 PB001587 401-519, Pfam-B_17078 PB017078 1618-1728, Pfam-B_17427 PB017427 1-89, Pfam-B_9375 PB009375 1481-1616","PHF","Zinc fingers, PHD-type","Histone modification read","#","22464331","#","histone, DNA","H1.4ac, H2Aac, H2Bac, H3ac, H4Kac","#","22464331","Fig. 5 in the reference.",7.33349838928571,7.3680714962963,9.484542,8.129813,8.883902,2.307492643547,2.40265396915153,3.8901937367825,2.2021826081693,2.30241556862511,2.37889721520226,3.1899178369685,1.38107590985893,1.18888324003404,1.38465510325805,1.49739168086784,0.288,0,1,0.752109598803407
"ENSG00000120071","HGNC:24565","KANSL1","KAT8 regulatory NSL complex subunit 1","284058","Q7Z3B3","KANL1_HUMAN","PEHE PF15275 885-1035, Pfam-B_14811 PB014811 571-639, Pfam-B_19390 PB019390 431-469, Pfam-B_2194 PB002194 135-403, Pfam-B_6892 PB006892 471-569","#","#","Histone modification write cofactor, Histone modification write cofactor","Histone methylation, Histone acetylation","20018852","NSL, CHD8, MLL2/3, MLL4/WBP7","histone","H4","H4ac","20018852","As part of the NSL complex it is involved in acetylation of nucleosomal histone H4 on several lysine residues and therefore may be involved in the regulation of transcription.",7.44834858571429,7.07831251851852,5.84685493333333,5.874282,6.4729345,2.48024702361606,2.7065128709892,4.88319312479345,3.0022236425568,2.59561345773401,2.84915460544856,4.11375049928168,1.45724535588206,1.42209514691909,1.32009369249283,1.06881227583357,0.238,0,1,0.750242693936079
"ENSG00000166913","HGNC:12849","YWHAB","tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, beta","7529","P31946","1433B_HUMAN","14-3-3 PF00244 5-238","#","#","Histone modification erase cofactor","Histone acetylation","10869435","#","histone","#","#","10869435","Regulation of histone deacetylase 4 and 5 and transcriptional activity by 14-3-3-dependent (=YWHAB) cellular localization.",7.49874935,6.08567400555556,0.172874830666667,0.046761565,1.16296935,7.03966482888484,6.88173802459537,7.93302373379244,7.61036787099493,7.12984967869547,7.31273777111991,7.33444313560761,3.76892967794088,2.84931614323529,3.28934473639522,3.81814788167648,0.241,0,0,0.748872341946825
"ENSG00000173120","HGNC:13606","KDM2A","lysine (K)-specific demethylase 2A","22992","Q9Y2K7","KDM2A_HUMAN","F-box PF00646 889-935, JmjC PF02373 199-299, Pfam-B_11167 PB011167 362-470, Pfam-B_6618 PB006618 951-1149, Pfam-B_9841 PB009841 686-744, zf-CXXC PF02008 563-609","FBXL, KDM","F-boxes / Leucine-rich repeats, Chromatin-modifying enzymes / K-demethylases","Histone modification erase","Histone methylation","20417597","#","histone","H3K36me2","H3K36","20417597","CpG islands directly recruit the H3K36-specific lysine demethylase enzyme KDM2A. Nucleation of KDM2A at these elements results in removal of H3K36 methylation, creating CpG island chromatin that is uniquely depleted of this modification.",5.46451996607143,4.90212112962963,3.98138923333333,2.2643971,2.49846495,3.22667498501809,3.46836435480253,5.89322385685997,3.99542120171827,3.37394882847247,3.75975239376897,5.25558381790487,2.11600123325101,1.68929514986779,1.87422274139057,1.95352327583338,0.045,0,1,0.747954769959727
"ENSG00000185658","HGNC:12760","BRWD1","bromodomain and WD repeat domain containing 1","54014","Q9NSI6","BRWD1_HUMAN","Bromodomain PF00439 1166-1252 1322-1405, Pfam-B_18973 PB018973 859-924, Pfam-B_22078 PB022078 2089-2186, Pfam-B_27858 PB027858 1900-2087, Pfam-B_71 PB000071 2238-2318, Pfam-B_8184 PB008184 1821-1898, WD40 PF00400 177-214 218-256 260-302 358-396 458-497","WDR","WD repeat domain containing","Histone modification read","#","22464331","#","histone","H3","#","22464331","Fig. 5 in the reference.",7.85992526607143,7.34947308888889,4.5554546,1.5033808,3.5913055,3.11471849328367,3.09366073539773,3.88958062118512,3.56269424524338,3.03055679206234,3.44814373391056,3.55466251933078,1.94134960248494,1.82565964299498,1.74751811940486,1.82819422566892,0.222,0,0,0.747486224003597
