"Gene name","Ensembl ID","Gene description","Contains canonical RBD","Pfam ID","Protein domains","Pfam Description"
"ABLIM1","ENSG00000099204","actin binding LIM protein 1 [Source:HGNC Symbol;Acc:HGNC:78]",0,"PF16182|PF02209|PF00412","AbLIM_anchor|VHP|LIM","Putative adherens-junction anchoring region of AbLIM|Villin headpiece domain|LIM domain"
"ABT1","ENSG00000146109","activator of basal transcription 1 [Source:HGNC Symbol;Acc:HGNC:17369]",0,NA,NA,NA
"AC004381.6","ENSG00000005189","Putative RNA exonuclease NEF-sp  [Source:UniProtKB/Swiss-Prot;Acc:Q96IC2]",1,"PF00076|PF00929","RRM_1|RNase_T","RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain)|Exonuclease"
"AC013461.1","ENSG00000091436","Mitogen-activated protein kinase kinase kinase MLT  [Source:UniProtKB/Swiss-Prot;Acc:Q9NYL2]",1,"PF00536|PF07714","SAM_1|Pkinase_Tyr","SAM domain (Sterile alpha motif)|Protein tyrosine kinase"
"ACAA2","ENSG00000167315","acetyl-CoA acyltransferase 2 [Source:HGNC Symbol;Acc:HGNC:83]",0,"PF02803|PF00108","Thiolase_C|Thiolase_N","Thiolase, C-terminal domain|Thiolase, N-terminal domain"
"ACACA","ENSG00000275176|ENSG00000278540","acetyl-CoA carboxylase alpha [Source:HGNC Symbol;Acc:HGNC:84]",0,"PF08326|PF00364|PF01039|PF00289|PF02786|PF02785","ACC_central|Biotin_lipoyl|Carboxyl_trans|CPSase_L_chain|CPSase_L_D2|Biotin_carb_C","Acetyl-CoA carboxylase, central region|Biotin-requiring enzyme|Carboxyl transferase domain|Carbamoyl-phosphate synthase L chain, N-terminal domain|Carbamoyl-phosphate synthase L chain, ATP binding domain|Biotin carboxylase C-terminal domain"
"ACAD9","ENSG00000177646","acyl-CoA dehydrogenase family member 9 [Source:HGNC Symbol;Acc:HGNC:21497]",0,"PF02771|PF00441|PF02770","Acyl-CoA_dh_N|Acyl-CoA_dh_1|Acyl-CoA_dh_M","Acyl-CoA dehydrogenase, N-terminal domain|Acyl-CoA dehydrogenase, C-terminal domain|Acyl-CoA dehydrogenase, middle domain"
"ACADM","ENSG00000117054","acyl-CoA dehydrogenase, C-4 to C-12 straight chain [Source:HGNC Symbol;Acc:HGNC:89]",0,"PF02770|PF00441|PF02771","Acyl-CoA_dh_M|Acyl-CoA_dh_1|Acyl-CoA_dh_N","Acyl-CoA dehydrogenase, middle domain|Acyl-CoA dehydrogenase, C-terminal domain|Acyl-CoA dehydrogenase, N-terminal domain"
"ACADVL","ENSG00000072778","acyl-CoA dehydrogenase, very long chain [Source:HGNC Symbol;Acc:HGNC:92]",0,"PF02770|PF02771|PF00441","Acyl-CoA_dh_M|Acyl-CoA_dh_N|Acyl-CoA_dh_1","Acyl-CoA dehydrogenase, middle domain|Acyl-CoA dehydrogenase, N-terminal domain|Acyl-CoA dehydrogenase, C-terminal domain"
"ACAT1","ENSG00000075239","acetyl-CoA acetyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:93]",0,"PF02803|PF00108","Thiolase_C|Thiolase_N","Thiolase, C-terminal domain|Thiolase, N-terminal domain"
"ACAT2","ENSG00000120437","acetyl-CoA acetyltransferase 2 [Source:HGNC Symbol;Acc:HGNC:94]",0,"PF00108|PF02803","Thiolase_N|Thiolase_C","Thiolase, N-terminal domain|Thiolase, C-terminal domain"
"ACBD3","ENSG00000182827","acyl-CoA binding domain containing 3 [Source:HGNC Symbol;Acc:HGNC:15453]",0,"PF13897|PF00887","ACBP","Acyl CoA binding protein"
"ACIN1","ENSG00000100813","apoptotic chromatin condensation inducer 1 [Source:HGNC Symbol;Acc:HGNC:17066]",1,"PF16294|PF02037","RSB_motif|SAP","RNSP1-SAP18 binding (RSB) motif|SAP domain"
"ACLY","ENSG00000131473","ATP citrate lyase [Source:HGNC Symbol;Acc:HGNC:115]",0,"PF02629|PF00285|PF00549|PF16114","CoA_binding|Citrate_synt|Ligase_CoA|Citrate_bind","CoA binding domain|Citrate synthase|CoA-ligase|ATP citrate lyase citrate-binding"
"ACO1","ENSG00000122729","aconitase 1 [Source:HGNC Symbol;Acc:HGNC:117]",0,"PF00694|PF00330","Aconitase_C|Aconitase","Aconitase C-terminal domain|Aconitase family (aconitate hydratase)"
"ACO2","ENSG00000100412","aconitase 2 [Source:HGNC Symbol;Acc:HGNC:118]",0,"PF00330|PF00694","Aconitase|Aconitase_C","Aconitase family (aconitate hydratase)|Aconitase C-terminal domain"
"ACOT7","ENSG00000097021","acyl-CoA thioesterase 7 [Source:HGNC Symbol;Acc:HGNC:24157]",0,"PF03061","4HBT","Thioesterase superfamily"
"ACP1","ENSG00000143727","acid phosphatase 1, soluble [Source:HGNC Symbol;Acc:HGNC:122]",0,"PF01451","LMWPc","Low molecular weight phosphotyrosine protein phosphatase"
"ACSL3","ENSG00000123983","acyl-CoA synthetase long-chain family member 3 [Source:HGNC Symbol;Acc:HGNC:3570]",0,"PF00501","AMP-binding","AMP-binding enzyme"
"ACTG1","ENSG00000184009","actin gamma 1 [Source:HGNC Symbol;Acc:HGNC:144]",0,"PF00022","Actin","Actin"
"ACTN1","ENSG00000072110","actinin alpha 1 [Source:HGNC Symbol;Acc:HGNC:163]",0,"PF08726|PF00435|PF00307|PF13833","EFhand_Ca_insen|Spectrin|CH|EF-hand_8","Ca2+ insensitive EF hand|Spectrin repeat|Calponin homology (CH) domain|EF-hand domain pair"
"ACTN4","ENSG00000130402|ENSG00000282844","actinin alpha 4 [Source:HGNC Symbol;Acc:HGNC:166]",0,"PF00435|PF08726|PF00307|PF13499","Spectrin|EFhand_Ca_insen|CH|EF-hand_7","Spectrin repeat|Ca2+ insensitive EF hand|Calponin homology (CH) domain|EF-hand domain pair"
"ACTR10","ENSG00000131966","actin-related protein 10 homolog [Source:HGNC Symbol;Acc:HGNC:17372]",0,"PF00022","Actin","Actin"
"ACTR2","ENSG00000138071","ARP2 actin related protein 2 homolog [Source:HGNC Symbol;Acc:HGNC:169]",0,"PF00022","Actin","Actin"
"ACTR3","ENSG00000115091","ARP3 actin related protein 3 homolog [Source:HGNC Symbol;Acc:HGNC:170]",0,"PF00022","Actin","Actin"
"ADAD1","ENSG00000164113","adenosine deaminase domain containing 1 [Source:HGNC Symbol;Acc:HGNC:30713]",1,"PF00035|PF02137","dsrm|A_deamin","Double-stranded RNA binding motif|Adenosine-deaminase (editase) domain"
"ADAD2","ENSG00000140955","adenosine deaminase domain containing 2 [Source:HGNC Symbol;Acc:HGNC:30714]",1,"PF00035|PF02137","dsrm|A_deamin","Double-stranded RNA binding motif|Adenosine-deaminase (editase) domain"
"ADAR","ENSG00000160710","adenosine deaminase, RNA specific [Source:HGNC Symbol;Acc:HGNC:225]",1,"PF02295|PF00035|PF02137","z-alpha|dsrm|A_deamin","Adenosine deaminase z-alpha domain|Double-stranded RNA binding motif|Adenosine-deaminase (editase) domain"
"ADARB1","ENSG00000197381","adenosine deaminase, RNA specific B1 [Source:HGNC Symbol;Acc:HGNC:226]",1,"PF02137|PF00035","A_deamin|dsrm","Adenosine-deaminase (editase) domain|Double-stranded RNA binding motif"
"ADARB2","ENSG00000185736","adenosine deaminase, RNA specific B2 (inactive) [Source:HGNC Symbol;Acc:HGNC:227]",1,"PF02137|PF00035","A_deamin|dsrm","Adenosine-deaminase (editase) domain|Double-stranded RNA binding motif"
"ADAT1","ENSG00000065457","adenosine deaminase, tRNA specific 1 [Source:HGNC Symbol;Acc:HGNC:228]",0,"PF02137","A_deamin","Adenosine-deaminase (editase) domain"
"ADAT2","ENSG00000189007","adenosine deaminase, tRNA specific 2 [Source:HGNC Symbol;Acc:HGNC:21172]",0,"PF00383|PF14437","dCMP_cyt_deam_1","Cytidine and deoxycytidylate deaminase zinc-binding region"
"ADAT3","ENSG00000213638","adenosine deaminase, tRNA specific 3 [Source:HGNC Symbol;Acc:HGNC:25151]",0,"PF00383","dCMP_cyt_deam_1","Cytidine and deoxycytidylate deaminase zinc-binding region"
"ADD1","ENSG00000087274","adducin 1 [Source:HGNC Symbol;Acc:HGNC:243]",0,"PF00596","Aldolase_II","Class II Aldolase and Adducin N-terminal domain"
"ADD3","ENSG00000148700","adducin 3 [Source:HGNC Symbol;Acc:HGNC:245]",0,"PF00596","Aldolase_II","Class II Aldolase and Adducin N-terminal domain"
"ADH5","ENSG00000197894","alcohol dehydrogenase 5 (class III), chi polypeptide [Source:HGNC Symbol;Acc:HGNC:253]",0,"PF08240|PF00107","ADH_N|ADH_zinc_N","Alcohol dehydrogenase GroES-like domain|Zinc-binding dehydrogenase"
"ADI1","ENSG00000182551|ENSG00000280830","acireductone dioxygenase 1 [Source:HGNC Symbol;Acc:HGNC:30576]",0,"PF03079","ARD","ARD/ARD' family"
"ADK","ENSG00000156110","adenosine kinase [Source:HGNC Symbol;Acc:HGNC:257]",0,"PF00294","PfkB","pfkB family carbohydrate kinase"
"ADNP","ENSG00000101126","activity dependent neuroprotector homeobox [Source:HGNC Symbol;Acc:HGNC:15766]",0,"PF00046","Homeobox","Homeobox domain"
"ADRM1","ENSG00000130706","adhesion regulating molecule 1 [Source:HGNC Symbol;Acc:HGNC:15759]",0,"PF16550|PF04683","RPN13_C|Proteasom_Rpn13","UCH-binding domain|Proteasome complex subunit Rpn13 ubiquitin receptor"
"ADSL","ENSG00000239900","adenylosuccinate lyase [Source:HGNC Symbol;Acc:HGNC:291]",0,"PF00206|PF10397","Lyase_1|ADSL_C","Lyase|Adenylosuccinate lyase C-terminus"
"ADSS","ENSG00000035687","adenylosuccinate synthase [Source:HGNC Symbol;Acc:HGNC:292]",0,"PF00709","Adenylsucc_synt","Adenylosuccinate synthetase"
"AEN","ENSG00000181026","apoptosis enhancing nuclease [Source:HGNC Symbol;Acc:HGNC:25722]",1,"PF00929","RNase_T","Exonuclease"
"AFDN","ENSG00000130396","afadin, adherens junction formation factor [Source:HGNC Symbol;Acc:HGNC:7137]",0,"PF00788|PF00595|PF01843|PF00498","RA|PDZ|DIL|FHA","Ras association (RalGDS/AF-6) domain|PDZ domain (Also known as DHR or GLGF)|DIL domain|FHA domain"
"AFF1","ENSG00000172493","AF4/FMR2 family member 1 [Source:HGNC Symbol;Acc:HGNC:7135]",0,"PF05110","AF-4","AF-4 proto-oncoprotein"
"AFF2","ENSG00000155966","AF4/FMR2 family member 2 [Source:HGNC Symbol;Acc:HGNC:3776]",0,"PF05110","AF-4","AF-4 proto-oncoprotein"
"AFF3","ENSG00000144218","AF4/FMR2 family member 3 [Source:HGNC Symbol;Acc:HGNC:6473]",0,"PF05110","AF-4","AF-4 proto-oncoprotein"
"AFF4","ENSG00000072364","AF4/FMR2 family member 4 [Source:HGNC Symbol;Acc:HGNC:17869]",0,"PF05110","AF-4","AF-4 proto-oncoprotein"
"AGFG1","ENSG00000173744","ArfGAP with FG repeats 1 [Source:HGNC Symbol;Acc:HGNC:5175]",0,"PF01412","ArfGap","Putative GTPase activating protein for Arf"
"AGL","ENSG00000162688","amylo-alpha-1, 6-glucosidase, 4-alpha-glucanotransferase [Source:HGNC Symbol;Acc:HGNC:321]",0,"PF06202|PF14701|PF14702|PF14699",NA,NA
"AGO1","ENSG00000092847","argonaute 1, RISC catalytic component [Source:HGNC Symbol;Acc:HGNC:3262]",1,"PF16488|PF08699|PF16486|PF16487|PF02170|PF02171","ArgoL2|ArgoL1|ArgoN|ArgoMid|PAZ|Piwi","Argonaute linker 2 domain|Argonaute linker 1 domain|N-terminal domain of argonaute|Mid domain of argonaute|PAZ domain|Piwi domain"
"AGO2","ENSG00000123908","argonaute 2, RISC catalytic component [Source:HGNC Symbol;Acc:HGNC:3263]",1,"PF08699|PF02170|PF02171|PF16486|PF16487|PF16488","ArgoL1|PAZ|Piwi|ArgoN|ArgoMid|ArgoL2","Argonaute linker 1 domain|PAZ domain|Piwi domain|N-terminal domain of argonaute|Mid domain of argonaute|Argonaute linker 2 domain"
"AGO3","ENSG00000126070","argonaute 3, RISC catalytic component [Source:HGNC Symbol;Acc:HGNC:18421]",1,"PF16486|PF08699|PF16487|PF16488|PF02170|PF02171","ArgoN|ArgoL1|ArgoMid|ArgoL2|PAZ|Piwi","N-terminal domain of argonaute|Argonaute linker 1 domain|Mid domain of argonaute|Argonaute linker 2 domain|PAZ domain|Piwi domain"
"AGO4","ENSG00000134698","argonaute 4, RISC catalytic component [Source:HGNC Symbol;Acc:HGNC:18424]",1,"PF02171|PF08699|PF16486|PF16487|PF16488|PF02170","Piwi|ArgoL1|ArgoN|ArgoMid|ArgoL2|PAZ","Piwi domain|Argonaute linker 1 domain|N-terminal domain of argonaute|Mid domain of argonaute|Argonaute linker 2 domain|PAZ domain"
"AGPS","ENSG00000018510","alkylglycerone phosphate synthase [Source:HGNC Symbol;Acc:HGNC:327]",0,"PF02913|PF01565","FAD-oxidase_C|FAD_binding_4","FAD linked oxidases, C-terminal domain|FAD binding domain"
"AHCTF1","ENSG00000153207","AT-hook containing transcription factor 1 [Source:HGNC Symbol;Acc:HGNC:24618]",0,"PF13934|PF16687","ELYS-bb","beta-propeller of ELYS nucleoporin"
"AHCY","ENSG00000101444","adenosylhomocysteinase [Source:HGNC Symbol;Acc:HGNC:343]",0,"PF00670|PF05221","AdoHcyase_NAD|AdoHcyase","S-adenosyl-L-homocysteine hydrolase, NAD binding domain|S-adenosyl-L-homocysteine hydrolase"
"AHNAK","ENSG00000124942","AHNAK nucleoprotein [Source:HGNC Symbol;Acc:HGNC:347]",0,"PF00595","PDZ","PDZ domain (Also known as DHR or GLGF)"
"AHNAK2","ENSG00000185567","AHNAK nucleoprotein 2 [Source:HGNC Symbol;Acc:HGNC:20125]",0,NA,NA,NA
"AHSA1","ENSG00000100591","activator of Hsp90 ATPase activity 1 [Source:HGNC Symbol;Acc:HGNC:1189]",0,"PF08327|PF09229","AHSA1|Aha1_N","Activator of Hsp90 ATPase homolog 1-like protein|Activator of Hsp90 ATPase, N-terminal"
"AIMP1","ENSG00000164022","aminoacyl tRNA synthetase complex interacting multifunctional protein 1 [Source:HGNC Symbol;Acc:HGNC:10648]",1,"PF01588","tRNA_bind","Putative tRNA binding domain"
"AIMP2","ENSG00000106305","aminoacyl tRNA synthetase complex interacting multifunctional protein 2 [Source:HGNC Symbol;Acc:HGNC:20609]",0,"PF16780|PF00043","AIMP2_LysRS_bd|GST_C","AIMP2 lysyl-tRNA synthetase binding domain|Glutathione S-transferase, C-terminal domain"
"AIP","ENSG00000110711","aryl hydrocarbon receptor interacting protein [Source:HGNC Symbol;Acc:HGNC:358]",0,"PF00254","FKBP_C","FKBP-type peptidyl-prolyl cis-trans isomerase"
"AK2","ENSG00000004455","adenylate kinase 2 [Source:HGNC Symbol;Acc:HGNC:362]",0,"PF00406|PF05191","ADK|ADK_lid","Adenylate kinase|Adenylate kinase, active site lid"
"AK6","ENSG00000085231|ENSG00000279247","adenylate kinase 6 [Source:HGNC Symbol;Acc:HGNC:49151]",0,"PF13238","AAA_18","AAA domain"
"AKAP1","ENSG00000121057","A-kinase anchoring protein 1 [Source:HGNC Symbol;Acc:HGNC:367]",1,"PF00567|PF00013","TUDOR|KH_1","Tudor domain|KH domain"
"AKAP12","ENSG00000131016","A-kinase anchoring protein 12 [Source:HGNC Symbol;Acc:HGNC:370]",0,"PF03832|PF10522","RII_binding_1","RII binding domain"
"AKAP13","ENSG00000170776","A-kinase anchoring protein 13 [Source:HGNC Symbol;Acc:HGNC:371]",0,"PF10522|PF00169|PF00621|PF00130","RII_binding_1|PH|RhoGEF|C1_1","RII binding domain|PH domain|RhoGEF domain|Phorbol esters/diacylglycerol binding domain (C1 domain)"
"AKAP17A","ENSG00000197976","A-kinase anchoring protein 17A [Source:HGNC Symbol;Acc:HGNC:18783]",0,NA,NA,NA
"AKAP2","ENSG00000241978","A-kinase anchoring protein 2 [Source:HGNC Symbol;Acc:HGNC:372]",0,"PF15304",NA,NA
"AKAP8","ENSG00000105127","A-kinase anchoring protein 8 [Source:HGNC Symbol;Acc:HGNC:378]",0,"PF04988",NA,NA
"AKAP8L","ENSG00000011243","A-kinase anchoring protein 8 like [Source:HGNC Symbol;Acc:HGNC:29857]",0,"PF04988",NA,NA
"AKAP9","ENSG00000127914","A-kinase anchoring protein 9 [Source:HGNC Symbol;Acc:HGNC:379]",0,"PF10495",NA,NA
"AKR1A1","ENSG00000117448","aldo-keto reductase family 1 member A1 [Source:HGNC Symbol;Acc:HGNC:380]",0,"PF00248","Aldo_ket_red","Aldo/keto reductase family"
"AKR1B1","ENSG00000085662","aldo-keto reductase family 1 member B [Source:HGNC Symbol;Acc:HGNC:381]",0,"PF00248","Aldo_ket_red","Aldo/keto reductase family"
"AKR7A2","ENSG00000053371","aldo-keto reductase family 7 member A2 [Source:HGNC Symbol;Acc:HGNC:389]",0,"PF00248","Aldo_ket_red","Aldo/keto reductase family"
"ALDH16A1","ENSG00000161618","aldehyde dehydrogenase 16 family member A1 [Source:HGNC Symbol;Acc:HGNC:28114]",0,"PF00171","Aldedh","Aldehyde dehydrogenase family"
"ALDH18A1","ENSG00000059573","aldehyde dehydrogenase 18 family member A1 [Source:HGNC Symbol;Acc:HGNC:9722]",0,"PF00696|PF00171","AA_kinase|Aldedh","Amino acid kinase family|Aldehyde dehydrogenase family"
"ALDH2","ENSG00000111275","aldehyde dehydrogenase 2 family (mitochondrial) [Source:HGNC Symbol;Acc:HGNC:404]",0,"PF00171","Aldedh","Aldehyde dehydrogenase family"
"ALDH6A1","ENSG00000119711","aldehyde dehydrogenase 6 family member A1 [Source:HGNC Symbol;Acc:HGNC:7179]",0,"PF00171","Aldedh","Aldehyde dehydrogenase family"
"ALDH7A1","ENSG00000164904","aldehyde dehydrogenase 7 family member A1 [Source:HGNC Symbol;Acc:HGNC:877]",0,"PF00171","Aldedh","Aldehyde dehydrogenase family"
"ALDH9A1","ENSG00000143149","aldehyde dehydrogenase 9 family member A1 [Source:HGNC Symbol;Acc:HGNC:412]",0,"PF00171","Aldedh","Aldehyde dehydrogenase family"
"ALDOA","ENSG00000149925","aldolase, fructose-bisphosphate A [Source:HGNC Symbol;Acc:HGNC:414]",0,"PF00274","Glycolytic","Fructose-bisphosphate aldolase class-I"
"ALDOC","ENSG00000109107","aldolase, fructose-bisphosphate C [Source:HGNC Symbol;Acc:HGNC:418]",0,"PF00274","Glycolytic","Fructose-bisphosphate aldolase class-I"
"ALKBH1","ENSG00000100601","alkB homolog 1, histone H2A dioxygenase [Source:HGNC Symbol;Acc:HGNC:17911]",0,"PF13532","2OG-FeII_Oxy_2","2OG-Fe(II) oxygenase superfamily"
"ALKBH5","ENSG00000091542","alkB homolog 5, RNA demethylase [Source:HGNC Symbol;Acc:HGNC:25996]",0,"PF13532","2OG-FeII_Oxy_2","2OG-Fe(II) oxygenase superfamily"
"ALKBH8","ENSG00000137760","alkB homolog 8, tRNA methyltransferase [Source:HGNC Symbol;Acc:HGNC:25189]",1,"PF09004|PF13532|PF08241|PF00076","2OG-FeII_Oxy_2|Methyltransf_11|RRM_1","2OG-Fe(II) oxygenase superfamily|Methyltransferase domain|RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain)"
"ALYREF","ENSG00000183684","Aly/REF export factor [Source:HGNC Symbol;Acc:HGNC:19071]",1,"PF13865|PF00076","RRM_1","RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain)"
"AMPD2","ENSG00000116337","adenosine monophosphate deaminase 2 [Source:HGNC Symbol;Acc:HGNC:469]",0,"PF00962","A_deaminase","Adenosine/AMP deaminase"
"ANAPC1","ENSG00000153107","anaphase promoting complex subunit 1 [Source:HGNC Symbol;Acc:HGNC:19988]",0,"PF12859","ANAPC1","Anaphase-promoting complex subunit 1"
"ANAPC2","ENSG00000176248","anaphase promoting complex subunit 2 [Source:HGNC Symbol;Acc:HGNC:19989]",0,"PF08672|PF00888","ANAPC2|Cullin","Anaphase promoting complex (APC) subunit 2|Cullin family"
"ANG","ENSG00000214274","angiogenin [Source:HGNC Symbol;Acc:HGNC:483]",0,"PF00074","RnaseA","Pancreatic ribonuclease"
"ANGEL1","ENSG00000013523","angel homolog 1 [Source:HGNC Symbol;Acc:HGNC:19961]",0,"PF03372","Exo_endo_phos","Endonuclease/Exonuclease/phosphatase family"
"ANGEL2","ENSG00000174606","angel homolog 2 [Source:HGNC Symbol;Acc:HGNC:30534]",0,"PF03372","Exo_endo_phos","Endonuclease/Exonuclease/phosphatase family"
"ANK3","ENSG00000151150","ankyrin 3 [Source:HGNC Symbol;Acc:HGNC:494]",0,"PF13606|PF00531|PF12796|PF13637|PF00023|PF00791","Ank_3|Death|Ank_2|Ank_4|Ank|ZU5","Ankyrin repeat|Death domain|Ankyrin repeats (3 copies)|Ankyrin repeats (many copies)|ZU5 domain"
"ANKFY1","ENSG00000185722","ankyrin repeat and FYVE domain containing 1 [Source:HGNC Symbol;Acc:HGNC:20763]",0,"PF00023|PF13637|PF00651|PF12796|PF01363|PF13857","Ank|Ank_4|BTB|Ank_2|FYVE|Ank_5","Ankyrin repeat|Ankyrin repeats (many copies)|BTB/POZ domain|Ankyrin repeats (3 copies)|FYVE zinc finger"
"ANKHD1","ENSG00000131503","ankyrin repeat and KH domain containing 1 [Source:HGNC Symbol;Acc:HGNC:24714]",1,"PF12796|PF00013|PF13606","Ank_2|KH_1|Ank_3","Ankyrin repeats (3 copies)|KH domain|Ankyrin repeat"
"ANKLE2","ENSG00000176915","ankyrin repeat and LEM domain containing 2 [Source:HGNC Symbol;Acc:HGNC:29101]",0,"PF01693|PF03020|PF13606","Cauli_VI|LEM|Ank_3","Caulimovirus viroplasmin|LEM domain|Ankyrin repeat"
"ANKRD17","ENSG00000132466","ankyrin repeat domain 17 [Source:HGNC Symbol;Acc:HGNC:23575]",1,"PF00013|PF12796","KH_1|Ank_2","KH domain|Ankyrin repeats (3 copies)"
"ANKS1A","ENSG00000064999","ankyrin repeat and sterile alpha motif domain containing 1A [Source:HGNC Symbol;Acc:HGNC:20961]",1,"PF07647|PF00536|PF00640|PF12796","SAM_2|SAM_1|PID|Ank_2","SAM domain (Sterile alpha motif)|Phosphotyrosine interaction domain (PTB/PID)|Ankyrin repeats (3 copies)"
"ANKZF1","ENSG00000163516","ankyrin repeat and zinc finger domain containing 1 [Source:HGNC Symbol;Acc:HGNC:25527]",0,"PF13857","Ank_5","Ankyrin repeats (many copies)"
"ANLN","ENSG00000011426","anillin actin binding protein [Source:HGNC Symbol;Acc:HGNC:14082]",0,"PF16018|PF08174|PF00169","Anillin|PH","Cell division protein anillin|PH domain"
"ANP32A","ENSG00000140350","acidic nuclear phosphoprotein 32 family member A [Source:HGNC Symbol;Acc:HGNC:13233]",0,"PF14580","LRR_9","Leucine-rich repeat"
"ANP32B","ENSG00000136938","acidic nuclear phosphoprotein 32 family member B [Source:HGNC Symbol;Acc:HGNC:16677]",0,"PF14580","LRR_9","Leucine-rich repeat"
"ANP32E","ENSG00000143401","acidic nuclear phosphoprotein 32 family member E [Source:HGNC Symbol;Acc:HGNC:16673]",0,"PF14580|PF12799","LRR_9|LRR_4","Leucine-rich repeat|Leucine Rich repeats (2 copies)"
"ANXA1","ENSG00000135046","annexin A1 [Source:HGNC Symbol;Acc:HGNC:533]",0,"PF00191","Annexin","Annexin"
"ANXA11","ENSG00000122359","annexin A11 [Source:HGNC Symbol;Acc:HGNC:535]",0,"PF00191","Annexin","Annexin"
"ANXA2","ENSG00000182718","annexin A2 [Source:HGNC Symbol;Acc:HGNC:537]",0,"PF00191","Annexin","Annexin"
"ANXA3","ENSG00000138772","annexin A3 [Source:HGNC Symbol;Acc:HGNC:541]",0,"PF00191","Annexin","Annexin"
"ANXA4","ENSG00000196975","annexin A4 [Source:HGNC Symbol;Acc:HGNC:542]",0,"PF00191","Annexin","Annexin"
