"Gene name","Ensembl ID","Gene description","Contains canonical RBD","Pfam ID","Protein domains","Pfam Description"
"AGO4","ENSG00000134698","argonaute 4, RISC catalytic component [Source:HGNC Symbol;Acc:HGNC:18424]",1,"PF02171|PF08699|PF16486|PF16487|PF16488|PF02170","Piwi|ArgoL1|ArgoN|ArgoMid|ArgoL2|PAZ","Piwi domain|Argonaute linker 1 domain|N-terminal domain of argonaute|Mid domain of argonaute|Argonaute linker 2 domain|PAZ domain"
"AIMP1","ENSG00000164022","aminoacyl tRNA synthetase complex interacting multifunctional protein 1 [Source:HGNC Symbol;Acc:HGNC:10648]",1,"PF01588","tRNA_bind","Putative tRNA binding domain"
"AKAP1","ENSG00000121057","A-kinase anchoring protein 1 [Source:HGNC Symbol;Acc:HGNC:367]",1,"PF00567|PF00013","TUDOR|KH_1","Tudor domain|KH domain"
"ALKBH8","ENSG00000137760","alkB homolog 8, tRNA methyltransferase [Source:HGNC Symbol;Acc:HGNC:25189]",1,"PF09004|PF13532|PF08241|PF00076","2OG-FeII_Oxy_2|Methyltransf_11|RRM_1","2OG-Fe(II) oxygenase superfamily|Methyltransferase domain|RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain)"
"ALYREF","ENSG00000183684","Aly/REF export factor [Source:HGNC Symbol;Acc:HGNC:19071]",1,"PF13865|PF00076","RRM_1","RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain)"
"ANKHD1","ENSG00000131503","ankyrin repeat and KH domain containing 1 [Source:HGNC Symbol;Acc:HGNC:24714]",1,"PF12796|PF00013|PF13606","Ank_2|KH_1|Ank_3","Ankyrin repeats (3 copies)|KH domain|Ankyrin repeat"
"ANKRD17","ENSG00000132466","ankyrin repeat domain 17 [Source:HGNC Symbol;Acc:HGNC:23575]",1,"PF00013|PF12796","KH_1|Ank_2","KH domain|Ankyrin repeats (3 copies)"
"ANKS1A","ENSG00000064999","ankyrin repeat and sterile alpha motif domain containing 1A [Source:HGNC Symbol;Acc:HGNC:20961]",1,"PF07647|PF00536|PF00640|PF12796","SAM_2|SAM_1|PID|Ank_2","SAM domain (Sterile alpha motif)|Phosphotyrosine interaction domain (PTB/PID)|Ankyrin repeats (3 copies)"
"APOBEC1","ENSG00000111701","apolipoprotein B mRNA editing enzyme catalytic subunit 1 [Source:HGNC Symbol;Acc:HGNC:604]",1,"PF08210","APOBEC_N","APOBEC-like N-terminal domain"
"APOBEC2","ENSG00000124701","apolipoprotein B mRNA editing enzyme catalytic subunit 2 [Source:HGNC Symbol;Acc:HGNC:605]",1,"PF08210","APOBEC_N","APOBEC-like N-terminal domain"
"APOBEC3B","ENSG00000179750","apolipoprotein B mRNA editing enzyme catalytic subunit 3B [Source:HGNC Symbol;Acc:HGNC:17352]",1,"PF08210","APOBEC_N","APOBEC-like N-terminal domain"
"APOBEC3C","ENSG00000244509","apolipoprotein B mRNA editing enzyme catalytic subunit 3C [Source:HGNC Symbol;Acc:HGNC:17353]",1,"PF08210","APOBEC_N","APOBEC-like N-terminal domain"
"APOBEC3F","ENSG00000128394","apolipoprotein B mRNA editing enzyme catalytic subunit 3F [Source:HGNC Symbol;Acc:HGNC:17356]",1,"PF08210","APOBEC_N","APOBEC-like N-terminal domain"
"APOBEC3G","ENSG00000239713","apolipoprotein B mRNA editing enzyme catalytic subunit 3G [Source:HGNC Symbol;Acc:HGNC:17357]",1,"PF08210","APOBEC_N","APOBEC-like N-terminal domain"
"APOBEC3H","ENSG00000100298","apolipoprotein B mRNA editing enzyme catalytic subunit 3H [Source:HGNC Symbol;Acc:HGNC:24100]",1,"PF08210","APOBEC_N","APOBEC-like N-terminal domain"
"APOBEC4","ENSG00000173627","apolipoprotein B mRNA editing enzyme catalytic polypeptide like 4 [Source:HGNC Symbol;Acc:HGNC:32152]",1,"PF08210","APOBEC_N","APOBEC-like N-terminal domain"
"ARAP1","ENSG00000186635","ArfGAP with RhoGAP domain, ankyrin repeat and PH domain 1 [Source:HGNC Symbol;Acc:HGNC:16925]",1,"PF00169|PF00620|PF01412|PF00536|PF00788","PH|RhoGAP|ArfGap|SAM_1|RA","PH domain|RhoGAP domain|Putative GTPase activating protein for Arf|SAM domain (Sterile alpha motif)|Ras association (RalGDS/AF-6) domain"
"ARID4B","ENSG00000054267","AT-rich interaction domain 4B [Source:HGNC Symbol;Acc:HGNC:15550]",1,"PF11717|PF01388|PF08169","Tudor-knot|ARID|RBB1NT","RNA binding activity-knot of a chromodomain|ARID/BRIGHT DNA binding domain|RBB1NT (NUC162) domain"
"ARPC1B","ENSG00000130429","actin related protein 2/3 complex subunit 1B [Source:HGNC Symbol;Acc:HGNC:704]",1,"PF00400","WD40","WD domain, G-beta repeat"
"ASCC1","ENSG00000138303","activating signal cointegrator 1 complex subunit 1 [Source:HGNC Symbol;Acc:HGNC:24268]",1,"PF00013|PF10469","KH_1|AKAP7_NLS","KH domain|AKAP7 2'5' RNA ligase-like domain"
"ASCC3","ENSG00000112249","activating signal cointegrator 1 complex subunit 3 [Source:HGNC Symbol;Acc:HGNC:18697]",1,"PF00270|PF02889|PF00271","DEAD|Sec63|Helicase_C","DEAD/DEAH box helicase|Sec63 Brl domain|Helicase conserved C-terminal domain"
"ATRX","ENSG00000085224","ATRX, chromatin remodeler [Source:HGNC Symbol;Acc:HGNC:886]",1,"PF00176|PF00271","SNF2_N|Helicase_C","SNF2 family N-terminal domain|Helicase conserved C-terminal domain"
"ATXN1","ENSG00000124788","ataxin 1 [Source:HGNC Symbol;Acc:HGNC:10548]",1,"PF12547|PF08517","AXH","Ataxin-1 and HBP1 module (AXH)"
"ATXN1L","ENSG00000224470","ataxin 1 like [Source:HGNC Symbol;Acc:HGNC:33279]",1,"PF08517","AXH","Ataxin-1 and HBP1 module (AXH)"
"BCDIN3D","ENSG00000186666","BCDIN3 domain containing RNA methyltransferase [Source:HGNC Symbol;Acc:HGNC:27050]",1,"PF06859","Bin3","Bicoid-interacting protein 3 (Bin3)"
"BCLAF1","ENSG00000029363","BCL2 associated transcription factor 1 [Source:HGNC Symbol;Acc:HGNC:16863]",1,"PF15440|PF09405","Btz","CASC3/Barentsz eIF4AIII binding"
"BICC1","ENSG00000122870","BicC family RNA binding protein 1 [Source:HGNC Symbol;Acc:HGNC:19351]",1,"PF00013|PF00536","KH_1|SAM_1","KH domain|SAM domain (Sterile alpha motif)"
"BLM","ENSG00000197299","Bloom syndrome RecQ like helicase [Source:HGNC Symbol;Acc:HGNC:1058]",1,"PF08072|PF00570|PF00271|PF16204|PF09382|PF16124|PF16202|PF00270","HRDC|Helicase_C|RQC|RecQ_Zn_bind|DEAD","HRDC domain|Helicase conserved C-terminal domain|RQC domain|RecQ zinc-binding|DEAD/DEAH box helicase"
"BOLL","ENSG00000152430","boule homolog, RNA binding protein [Source:HGNC Symbol;Acc:HGNC:14273]",1,"PF00076","RRM_1","RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain)"
"BOP1","ENSG00000261236","block of proliferation 1 [Source:HGNC Symbol;Acc:HGNC:15519]",1,"PF00400|PF08145","WD40|BOP1NT","WD domain, G-beta repeat|BOP1NT (NUC169) domain"
"BRCA1","ENSG00000012048","BRCA1, DNA repair associated [Source:HGNC Symbol;Acc:HGNC:1100]",1,"PF00097|PF00533|PF12820|PF13445|PF15227","zf-C3HC4|BRCT|zf-RING_UBOX|zf-C3HC4_4","Zinc finger, C3HC4 type (RING finger)|BRCA1 C Terminus (BRCT) domain|RING-type zinc-finger|zinc finger of C3HC4-type, RING"
"BRIX1","ENSG00000113460","BRX1, biogenesis of ribosomes [Source:HGNC Symbol;Acc:HGNC:24170]",1,"PF04427","Brix","Brix domain"
"BTAF1","ENSG00000095564","B-TFIID TATA-box binding protein associated factor 1 [Source:HGNC Symbol;Acc:HGNC:17307]",1,"PF00271|PF00176|PF12054","Helicase_C|SNF2_N","Helicase conserved C-terminal domain|SNF2 family N-terminal domain"
"BUB3","ENSG00000154473","BUB3, mitotic checkpoint protein [Source:HGNC Symbol;Acc:HGNC:1151]",1,"PF00400","WD40","WD domain, G-beta repeat"
"CAPRIN1","ENSG00000135387","cell cycle associated protein 1 [Source:HGNC Symbol;Acc:HGNC:6743]",1,"PF12287",NA,NA
"CAPRIN2","ENSG00000110888","caprin family member 2 [Source:HGNC Symbol;Acc:HGNC:21259]",1,"PF12287|PF00386","C1q","C1q domain"
"CARHSP1","ENSG00000153048","calcium regulated heat stable protein 1 [Source:HGNC Symbol;Acc:HGNC:17150]",1,"PF00313","CSD","'Cold-shock' DNA-binding domain"
"CASC3","ENSG00000108349","cancer susceptibility candidate 3 [Source:HGNC Symbol;Acc:HGNC:17040]",1,"PF09405","Btz","CASC3/Barentsz eIF4AIII binding"
"CCAR1","ENSG00000060339","cell division cycle and apoptosis regulator 1 [Source:HGNC Symbol;Acc:HGNC:24236]",1,"PF14444|PF02037|PF14443","SAP","SAP domain"
"CDC20","ENSG00000117399","cell division cycle 20 [Source:HGNC Symbol;Acc:HGNC:1723]",1,"PF00400|PF12894","WD40|ANAPC4_WD40","WD domain, G-beta repeat|Anaphase-promoting complex subunit 4 WD40 domain"
"CDC40","ENSG00000168438","cell division cycle 40 [Source:HGNC Symbol;Acc:HGNC:17350]",1,"PF00400","WD40","WD domain, G-beta repeat"
"CELF1","ENSG00000149187","CUGBP, Elav-like family member 1 [Source:HGNC Symbol;Acc:HGNC:2549]",1,"PF00076","RRM_1","RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain)"
"CELF2","ENSG00000048740","CUGBP, Elav-like family member 2 [Source:HGNC Symbol;Acc:HGNC:2550]",1,"PF00076","RRM_1","RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain)"
"CELF3","ENSG00000159409","CUGBP, Elav-like family member 3 [Source:HGNC Symbol;Acc:HGNC:11967]",1,"PF00076","RRM_1","RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain)"
"CELF4","ENSG00000101489","CUGBP, Elav-like family member 4 [Source:HGNC Symbol;Acc:HGNC:14015]",1,"PF00076","RRM_1","RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain)"
"CELF5","ENSG00000161082","CUGBP, Elav-like family member 5 [Source:HGNC Symbol;Acc:HGNC:14058]",1,"PF00076","RRM_1","RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain)"
"CELF6","ENSG00000140488","CUGBP, Elav-like family member 6 [Source:HGNC Symbol;Acc:HGNC:14059]",1,"PF00076","RRM_1","RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain)"
"CHD1","ENSG00000153922","chromodomain helicase DNA binding protein 1 [Source:HGNC Symbol;Acc:HGNC:1915]",1,"PF13907|PF00176|PF00271|PF00385","SNF2_N|Helicase_C|Chromo","SNF2 family N-terminal domain|Helicase conserved C-terminal domain|Chromo (CHRromatin Organisation MOdifier) domain"
"CHD1L","ENSG00000131778","chromodomain helicase DNA binding protein 1 like [Source:HGNC Symbol;Acc:HGNC:1916]",1,"PF00271|PF00176","Helicase_C|SNF2_N","Helicase conserved C-terminal domain|SNF2 family N-terminal domain"
"CHD2","ENSG00000173575","chromodomain helicase DNA binding protein 2 [Source:HGNC Symbol;Acc:HGNC:1917]",1,"PF00271|PF00385|PF13907|PF00176","Helicase_C|Chromo|SNF2_N","Helicase conserved C-terminal domain|Chromo (CHRromatin Organisation MOdifier) domain|SNF2 family N-terminal domain"
"CHD3","ENSG00000170004","chromodomain helicase DNA binding protein 3 [Source:HGNC Symbol;Acc:HGNC:1918]",1,"PF00176|PF08073|PF06461|PF00271|PF08074|PF00385|PF00628|PF06465","SNF2_N|Helicase_C|Chromo|PHD","SNF2 family N-terminal domain|Helicase conserved C-terminal domain|Chromo (CHRromatin Organisation MOdifier) domain|PHD-finger"
"CHD4","ENSG00000111642","chromodomain helicase DNA binding protein 4 [Source:HGNC Symbol;Acc:HGNC:1919]",1,"PF08073|PF00176|PF00628|PF06465|PF08074|PF00271|PF06461|PF00385","SNF2_N|PHD|Helicase_C|Chromo","SNF2 family N-terminal domain|PHD-finger|Helicase conserved C-terminal domain|Chromo (CHRromatin Organisation MOdifier) domain"
"CHD8","ENSG00000100888","chromodomain helicase DNA binding protein 8 [Source:HGNC Symbol;Acc:HGNC:20153]",1,"PF00176|PF00385|PF07533|PF00271","SNF2_N|Chromo|BRK|Helicase_C","SNF2 family N-terminal domain|Chromo (CHRromatin Organisation MOdifier) domain|BRK domain|Helicase conserved C-terminal domain"
"CHERP","ENSG00000085872","calcium homeostasis endoplasmic reticulum protein [Source:HGNC Symbol;Acc:HGNC:16930]",1,"PF04818|PF01805|PF01585","CTD_bind|Surp","RNA polymerase II-binding domain.|Surp module"
"CIRBP","ENSG00000099622","cold inducible RNA binding protein [Source:HGNC Symbol;Acc:HGNC:1982]",1,"PF00076","RRM_1","RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain)"
"CIZ1","ENSG00000148337","CDKN1A interacting zinc finger protein 1 [Source:HGNC Symbol;Acc:HGNC:16744]",1,"PF12171","zf-C2H2_jaz","Zinc-finger double-stranded RNA-binding"
"CMTR1","ENSG00000137200","cap methyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:21077]",1,"PF01728|PF01585","FtsJ","FtsJ-like methyltransferase"
"CMTR2","ENSG00000180917|ENSG00000282945","cap methyltransferase 2 [Source:HGNC Symbol;Acc:HGNC:25635]",1,"PF01728","FtsJ","FtsJ-like methyltransferase"
"CNBP","ENSG00000169714","CCHC-type zinc finger nucleic acid binding protein [Source:HGNC Symbol;Acc:HGNC:13164]",1,"PF00098","zf-CCHC","Zinc knuckle"
"CNOT4","ENSG00000080802","CCR4-NOT transcription complex subunit 4 [Source:HGNC Symbol;Acc:HGNC:7880]",1,"PF00076|PF14570","RRM_1|zf-RING_4","RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain)|RING/Ubox like zinc-binding domain"
"CNOT7","ENSG00000198791","CCR4-NOT transcription complex subunit 7 [Source:HGNC Symbol;Acc:HGNC:14101]",1,"PF04857","CAF1","CAF1 family ribonuclease"
"CNOT8","ENSG00000155508","CCR4-NOT transcription complex subunit 8 [Source:HGNC Symbol;Acc:HGNC:9207]",1,"PF04857","CAF1","CAF1 family ribonuclease"
"COPA","ENSG00000122218","coatomer protein complex subunit alpha [Source:HGNC Symbol;Acc:HGNC:2230]",1,"PF00400|PF04053|PF06957|PF12894","WD40|Coatomer_WDAD|COPI_C|ANAPC4_WD40","WD domain, G-beta repeat|Coatomer WD associated region|Coatomer (COPI) alpha subunit C-terminus|Anaphase-promoting complex subunit 4 WD40 domain"
"COPB2","ENSG00000184432","coatomer protein complex subunit beta 2 [Source:HGNC Symbol;Acc:HGNC:2232]",1,"PF04053|PF00400","Coatomer_WDAD|WD40","Coatomer WD associated region|WD domain, G-beta repeat"
"CORO1A","ENSG00000102879","coronin 1A [Source:HGNC Symbol;Acc:HGNC:2252]",1,"PF00400|PF08953|PF08954|PF16300","WD40|DUF1899|Trimer_CC|WD40_4","WD domain, G-beta repeat|Domain of unknown function (DUF1899)|Trimerisation motif|Type of WD40 repeat"
"CORO1B","ENSG00000172725","coronin 1B [Source:HGNC Symbol;Acc:HGNC:2253]",1,"PF08953|PF00400|PF16300","DUF1899|WD40|WD40_4","Domain of unknown function (DUF1899)|WD domain, G-beta repeat|Type of WD40 repeat"
"CORO1C","ENSG00000110880","coronin 1C [Source:HGNC Symbol;Acc:HGNC:2254]",1,"PF16300|PF00400|PF08953","WD40_4|WD40|DUF1899","Type of WD40 repeat|WD domain, G-beta repeat|Domain of unknown function (DUF1899)"
"CORO7","ENSG00000262246|ENSG00000282725","coronin 7 [Source:HGNC Symbol;Acc:HGNC:26161]",1,"PF08953|PF16300|PF00400","DUF1899|WD40_4|WD40","Domain of unknown function (DUF1899)|Type of WD40 repeat|WD domain, G-beta repeat"
"CPEB1","ENSG00000214575|ENSG00000277445","cytoplasmic polyadenylation element binding protein 1 [Source:HGNC Symbol;Acc:HGNC:21744]",1,"PF16368|PF16367|PF16366","RRM_7|CEBP_ZZ","RNA recognition motif|Cytoplasmic polyadenylation element-binding protein ZZ domain"
"CPEB2","ENSG00000137449|ENSG00000283087","cytoplasmic polyadenylation element binding protein 2 [Source:HGNC Symbol;Acc:HGNC:21745]",1,"PF16366|PF16367","CEBP_ZZ|RRM_7","Cytoplasmic polyadenylation element-binding protein ZZ domain|RNA recognition motif"
"CPEB3","ENSG00000107864","cytoplasmic polyadenylation element binding protein 3 [Source:HGNC Symbol;Acc:HGNC:21746]",1,"PF16366|PF16367","CEBP_ZZ|RRM_7","Cytoplasmic polyadenylation element-binding protein ZZ domain|RNA recognition motif"
"CPEB4","ENSG00000113742","cytoplasmic polyadenylation element binding protein 4 [Source:HGNC Symbol;Acc:HGNC:21747]",1,"PF16367|PF16366","RRM_7|CEBP_ZZ","RNA recognition motif|Cytoplasmic polyadenylation element-binding protein ZZ domain"
"CPSF4","ENSG00000160917","cleavage and polyadenylation specific factor 4 [Source:HGNC Symbol;Acc:HGNC:2327]",1,"PF15663|PF00642|PF00098","zf-CCCH|zf-CCHC","Zinc finger C-x8-C-x5-C-x3-H type (and similar)|Zinc knuckle"
"CPSF4L","ENSG00000187959","cleavage and polyadenylation specific factor 4 like [Source:HGNC Symbol;Acc:HGNC:33632]",1,"PF15663|PF00642","zf-CCCH","Zinc finger C-x8-C-x5-C-x3-H type (and similar)"
"CPSF6","ENSG00000111605","cleavage and polyadenylation specific factor 6 [Source:HGNC Symbol;Acc:HGNC:13871]",1,"PF00076","RRM_1","RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain)"
"CPSF7","ENSG00000149532","cleavage and polyadenylation specific factor 7 [Source:HGNC Symbol;Acc:HGNC:30098]",1,"PF00076","RRM_1","RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain)"
"CSDC2","ENSG00000172346","cold shock domain containing C2 [Source:HGNC Symbol;Acc:HGNC:30359]",1,"PF00313","CSD","'Cold-shock' DNA-binding domain"
"CSDE1","ENSG00000009307","cold shock domain containing E1 [Source:HGNC Symbol;Acc:HGNC:29905]",1,"PF12901|PF00313","CSD","'Cold-shock' DNA-binding domain"
"CSTF1","ENSG00000101138","cleavage stimulation factor subunit 1 [Source:HGNC Symbol;Acc:HGNC:2483]",1,"PF00400|PF16699","WD40|CSTF1_dimer","WD domain, G-beta repeat|Cleavage stimulation factor subunit 1, dimerisation domain"
"CSTF2","ENSG00000101811","cleavage stimulation factor subunit 2 [Source:HGNC Symbol;Acc:HGNC:2484]",1,"PF14304|PF14327|PF00076","CSTF_C|CSTF2_hinge|RRM_1","Transcription termination and cleavage factor C-terminal|Hinge domain of cleavage stimulation factor subunit 2|RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain)"
"CSTF2T","ENSG00000177613","cleavage stimulation factor subunit 2 tau variant [Source:HGNC Symbol;Acc:HGNC:17086]",1,"PF00076|PF14327|PF14304","RRM_1|CSTF2_hinge|CSTF_C","RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain)|Hinge domain of cleavage stimulation factor subunit 2|Transcription termination and cleavage factor C-terminal"
"CTIF","ENSG00000134030|ENSG00000282825","cap binding complex dependent translation initiation factor [Source:HGNC Symbol;Acc:HGNC:23925]",1,"PF02854","MIF4G","MIF4G domain"
"CWC22","ENSG00000163510","CWC22 spliceosome associated protein homolog [Source:HGNC Symbol;Acc:HGNC:29322]",1,"PF02847|PF02854","MA3|MIF4G","MA3 domain|MIF4G domain"
"DARS","ENSG00000115866","aspartyl-tRNA synthetase [Source:HGNC Symbol;Acc:HGNC:2678]",1,"PF01336|PF00152","tRNA_anti-codon|tRNA-synt_2","OB-fold nucleic acid binding domain|tRNA synthetases class II (D, K and N)"
"DARS2","ENSG00000117593","aspartyl-tRNA synthetase 2, mitochondrial [Source:HGNC Symbol;Acc:HGNC:25538]",1,"PF02938|PF00152|PF01336","GAD|tRNA-synt_2|tRNA_anti-codon","GAD domain|tRNA synthetases class II (D, K and N)|OB-fold nucleic acid binding domain"
"DAZ1","ENSG00000188120","deleted in azoospermia 1 [Source:HGNC Symbol;Acc:HGNC:2682]",1,"PF00076","RRM_1","RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain)"
"DAZ2","ENSG00000205944","deleted in azoospermia 2 [Source:HGNC Symbol;Acc:HGNC:15964]",1,"PF00076","RRM_1","RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain)"
"DAZ3","ENSG00000187191","deleted in azoospermia 3 [Source:HGNC Symbol;Acc:HGNC:15965]",1,"PF00076","RRM_1","RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain)"
"DAZ4","ENSG00000205916","deleted in azoospermia 4 [Source:HGNC Symbol;Acc:HGNC:15966]",1,"PF00076","RRM_1","RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain)"
"DAZAP1","ENSG00000071626","DAZ associated protein 1 [Source:HGNC Symbol;Acc:HGNC:2683]",1,"PF00076","RRM_1","RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain)"
"DAZL","ENSG00000092345","deleted in azoospermia like [Source:HGNC Symbol;Acc:HGNC:2685]",1,"PF00076","RRM_1","RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain)"
"DCAF13","ENSG00000164934","DDB1 and CUL4 associated factor 13 [Source:HGNC Symbol;Acc:HGNC:24535]",1,"PF08662|PF04158|PF00400","eIF2A|WD40","Eukaryotic translation initiation factor eIF2A|WD domain, G-beta repeat"
"DCAF5","ENSG00000139990","DDB1 and CUL4 associated factor 5 [Source:HGNC Symbol;Acc:HGNC:20224]",1,"PF00400","WD40","WD domain, G-beta repeat"
"DDX1","ENSG00000079785","DEAD-box helicase 1 [Source:HGNC Symbol;Acc:HGNC:2734]",1,"PF00271|PF00270|PF00622","Helicase_C|DEAD|SPRY","Helicase conserved C-terminal domain|DEAD/DEAH box helicase|SPRY domain"
"DDX10","ENSG00000178105","DEAD-box helicase 10 [Source:HGNC Symbol;Acc:HGNC:2735]",1,"PF00270|PF13959|PF00271","DEAD|Helicase_C","DEAD/DEAH box helicase|Helicase conserved C-terminal domain"
"DDX17","ENSG00000100201","DEAD-box helicase 17 [Source:HGNC Symbol;Acc:HGNC:2740]",1,"PF00271|PF00270","Helicase_C|DEAD","Helicase conserved C-terminal domain|DEAD/DEAH box helicase"
"DDX18","ENSG00000088205","DEAD-box helicase 18 [Source:HGNC Symbol;Acc:HGNC:2741]",1,"PF13959|PF00271|PF00270","Helicase_C|DEAD","Helicase conserved C-terminal domain|DEAD/DEAH box helicase"
"DDX19A","ENSG00000168872","DEAD-box helicase 19A [Source:HGNC Symbol;Acc:HGNC:25628]",1,"PF00270|PF00271","DEAD|Helicase_C","DEAD/DEAH box helicase|Helicase conserved C-terminal domain"
"DDX20","ENSG00000064703","DEAD-box helicase 20 [Source:HGNC Symbol;Acc:HGNC:2743]",1,"PF00271|PF00270","Helicase_C|DEAD","Helicase conserved C-terminal domain|DEAD/DEAH box helicase"
"DDX21","ENSG00000165732","DExD-box helicase 21 [Source:HGNC Symbol;Acc:HGNC:2744]",1,"PF08152|PF00271|PF00270","GUCT|Helicase_C|DEAD","GUCT (NUC152) domain|Helicase conserved C-terminal domain|DEAD/DEAH box helicase"
"DDX23","ENSG00000174243","DEAD-box helicase 23 [Source:HGNC Symbol;Acc:HGNC:17347]",1,"PF00271|PF00270","Helicase_C|DEAD","Helicase conserved C-terminal domain|DEAD/DEAH box helicase"
"DDX24","ENSG00000089737|ENSG00000273761","DEAD-box helicase 24 [Source:HGNC Symbol;Acc:HGNC:13266]",1,"PF00271|PF00270","Helicase_C|DEAD","Helicase conserved C-terminal domain|DEAD/DEAH box helicase"
