"Gene name","Ensembl ID","Gene description","Contains canonical RBD","Pfam ID","Protein domains","Pfam Description"
"AGO2","ENSG00000123908","argonaute 2, RISC catalytic component [Source:HGNC Symbol;Acc:HGNC:3263]",1,"PF08699|PF02170|PF02171|PF16486|PF16487|PF16488","ArgoL1|PAZ|Piwi|ArgoN|ArgoMid|ArgoL2","Argonaute linker 1 domain|PAZ domain|Piwi domain|N-terminal domain of argonaute|Mid domain of argonaute|Argonaute linker 2 domain"
"AGO3","ENSG00000126070","argonaute 3, RISC catalytic component [Source:HGNC Symbol;Acc:HGNC:18421]",1,"PF16486|PF08699|PF16487|PF16488|PF02170|PF02171","ArgoN|ArgoL1|ArgoMid|ArgoL2|PAZ|Piwi","N-terminal domain of argonaute|Argonaute linker 1 domain|Mid domain of argonaute|Argonaute linker 2 domain|PAZ domain|Piwi domain"
"AIMP1","ENSG00000164022","aminoacyl tRNA synthetase complex interacting multifunctional protein 1 [Source:HGNC Symbol;Acc:HGNC:10648]",1,"PF01588","tRNA_bind","Putative tRNA binding domain"
"AIMP2","ENSG00000106305","aminoacyl tRNA synthetase complex interacting multifunctional protein 2 [Source:HGNC Symbol;Acc:HGNC:20609]",0,"PF16780|PF00043","AIMP2_LysRS_bd|GST_C","AIMP2 lysyl-tRNA synthetase binding domain|Glutathione S-transferase, C-terminal domain"
"AKAP1","ENSG00000121057","A-kinase anchoring protein 1 [Source:HGNC Symbol;Acc:HGNC:367]",1,"PF00567|PF00013","TUDOR|KH_1","Tudor domain|KH domain"
"AKAP17A","ENSG00000197976","A-kinase anchoring protein 17A [Source:HGNC Symbol;Acc:HGNC:18783]",0,NA,NA,NA
"AKAP8","ENSG00000105127","A-kinase anchoring protein 8 [Source:HGNC Symbol;Acc:HGNC:378]",0,"PF04988",NA,NA
"AKAP8L","ENSG00000011243","A-kinase anchoring protein 8 like [Source:HGNC Symbol;Acc:HGNC:29857]",0,"PF04988",NA,NA
"ALKBH5","ENSG00000091542","alkB homolog 5, RNA demethylase [Source:HGNC Symbol;Acc:HGNC:25996]",0,"PF13532","2OG-FeII_Oxy_2","2OG-Fe(II) oxygenase superfamily"
"ALYREF","ENSG00000183684","Aly/REF export factor [Source:HGNC Symbol;Acc:HGNC:19071]",1,"PF13865|PF00076","RRM_1","RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain)"
"ANKHD1","ENSG00000131503","ankyrin repeat and KH domain containing 1 [Source:HGNC Symbol;Acc:HGNC:24714]",1,"PF12796|PF00013|PF13606","Ank_2|KH_1|Ank_3","Ankyrin repeats (3 copies)|KH domain|Ankyrin repeat"
"ANKRD17","ENSG00000132466","ankyrin repeat domain 17 [Source:HGNC Symbol;Acc:HGNC:23575]",1,"PF00013|PF12796","KH_1|Ank_2","KH domain|Ankyrin repeats (3 copies)"
"APEX1","ENSG00000100823","apurinic/apyrimidinic endodeoxyribonuclease 1 [Source:HGNC Symbol;Acc:HGNC:587]",0,"PF03372","Exo_endo_phos","Endonuclease/Exonuclease/phosphatase family"
"API5","ENSG00000166181","apoptosis inhibitor 5 [Source:HGNC Symbol;Acc:HGNC:594]",0,"PF05918","API5","Apoptosis inhibitory protein 5 (API5)"
"APOBEC3F","ENSG00000128394","apolipoprotein B mRNA editing enzyme catalytic subunit 3F [Source:HGNC Symbol;Acc:HGNC:17356]",1,"PF08210","APOBEC_N","APOBEC-like N-terminal domain"
"AQR","ENSG00000021776","aquarius intron-binding spliceosomal factor [Source:HGNC Symbol;Acc:HGNC:29513]",0,"PF16399|PF13087|PF13086","Aquarius_N|AAA_12|AAA_11","Intron-binding protein aquarius N-terminus|AAA domain"
"ARL6IP4","ENSG00000182196","ADP ribosylation factor like GTPase 6 interacting protein 4 [Source:HGNC Symbol;Acc:HGNC:18076]",0,"PF10500",NA,NA
"ATXN2","ENSG00000204842","ataxin 2 [Source:HGNC Symbol;Acc:HGNC:10555]",0,"PF07145|PF14438|PF06741","PAM2|SM-ATX","Ataxin-2 C-terminal region|Ataxin 2 SM domain"
"ATXN2L","ENSG00000168488","ataxin 2 like [Source:HGNC Symbol;Acc:HGNC:31326]",0,"PF06741|PF07145|PF14438","PAM2|SM-ATX","Ataxin-2 C-terminal region|Ataxin 2 SM domain"
"AZGP1","ENSG00000160862","alpha-2-glycoprotein 1, zinc-binding [Source:HGNC Symbol;Acc:HGNC:910]",0,"PF00129|PF07654","MHC_I|C1-set","Class I Histocompatibility antigen, domains alpha 1 and 2|Immunoglobulin C1-set domain"
"BAZ2A","ENSG00000076108","bromodomain adjacent to zinc finger domain 2A [Source:HGNC Symbol;Acc:HGNC:962]",0,"PF15613|PF00628|PF00439|PF15612|PF02791|PF01429|PF02178","PHD|Bromodomain|WHIM1|MBD","PHD-finger|Bromodomain|WSTF, HB1, Itc1p, MBD9 motif 1|Methyl-CpG binding domain"
"BCLAF1","ENSG00000029363","BCL2 associated transcription factor 1 [Source:HGNC Symbol;Acc:HGNC:16863]",1,"PF15440|PF09405","Btz","CASC3/Barentsz eIF4AIII binding"
"BICC1","ENSG00000122870","BicC family RNA binding protein 1 [Source:HGNC Symbol;Acc:HGNC:19351]",1,"PF00013|PF00536","KH_1|SAM_1","KH domain|SAM domain (Sterile alpha motif)"
"BMS1","ENSG00000165733","BMS1, ribosome biogenesis factor [Source:HGNC Symbol;Acc:HGNC:23505]",0,"PF08142|PF04950",NA,NA
"BOP1","ENSG00000261236","block of proliferation 1 [Source:HGNC Symbol;Acc:HGNC:15519]",1,"PF00400|PF08145","WD40|BOP1NT","WD domain, G-beta repeat|BOP1NT (NUC169) domain"
"BRIX1","ENSG00000113460","BRX1, biogenesis of ribosomes [Source:HGNC Symbol;Acc:HGNC:24170]",1,"PF04427","Brix","Brix domain"
"BUD13","ENSG00000137656","BUD13 homolog [Source:HGNC Symbol;Acc:HGNC:28199]",0,"PF09736","Bud13","Pre-mRNA-splicing factor of RES complex"
"BYSL","ENSG00000112578","bystin like [Source:HGNC Symbol;Acc:HGNC:1157]",0,"PF05291",NA,NA
"BZW1","ENSG00000082153","basic leucine zipper and W2 domains 1 [Source:HGNC Symbol;Acc:HGNC:18380]",0,"PF02020","W2","eIF4-gamma/eIF5/eIF2-epsilon"
"BZW2","ENSG00000136261","basic leucine zipper and W2 domains 2 [Source:HGNC Symbol;Acc:HGNC:18808]",0,"PF02020","W2","eIF4-gamma/eIF5/eIF2-epsilon"
"C11orf68","ENSG00000175573","chromosome 11 open reading frame 68 [Source:HGNC Symbol;Acc:HGNC:28801]",0,"PF08939","DUF1917","Domain of unknown function (DUF1917)"
"C12orf65","ENSG00000130921","chromosome 12 open reading frame 65 [Source:HGNC Symbol;Acc:HGNC:26784]",0,"PF00472","RF-1","RF-1 domain"
"C1QBP","ENSG00000108561","complement C1q binding protein [Source:HGNC Symbol;Acc:HGNC:1243]",0,"PF02330","MAM33","Mitochondrial glycoprotein"
"CACTIN","ENSG00000105298","cactin, spliceosome C complex subunit [Source:HGNC Symbol;Acc:HGNC:29938]",0,"PF09732|PF10312",NA,NA
"CALR","ENSG00000179218","calreticulin [Source:HGNC Symbol;Acc:HGNC:1455]",0,"PF00262","Calreticulin","Calreticulin family"
"CANX","ENSG00000127022","calnexin [Source:HGNC Symbol;Acc:HGNC:1473]",0,"PF00262","Calreticulin","Calreticulin family"
"CAPRIN1","ENSG00000135387","cell cycle associated protein 1 [Source:HGNC Symbol;Acc:HGNC:6743]",1,"PF12287",NA,NA
"CARS","ENSG00000110619|ENSG00000278191","cysteinyl-tRNA synthetase [Source:HGNC Symbol;Acc:HGNC:1493]",0,"PF01406","tRNA-synt_1e","tRNA synthetases class I (C) catalytic domain"
"CASC3","ENSG00000108349","cancer susceptibility candidate 3 [Source:HGNC Symbol;Acc:HGNC:17040]",1,"PF09405","Btz","CASC3/Barentsz eIF4AIII binding"
"CCAR1","ENSG00000060339","cell division cycle and apoptosis regulator 1 [Source:HGNC Symbol;Acc:HGNC:24236]",1,"PF14444|PF02037|PF14443","SAP","SAP domain"
"CCAR2","ENSG00000158941","cell cycle and apoptosis regulator 2 [Source:HGNC Symbol;Acc:HGNC:23360]",0,"PF14444|PF14443",NA,NA
"CCDC59","ENSG00000133773","coiled-coil domain containing 59 [Source:HGNC Symbol;Acc:HGNC:25005]",0,"PF08524",NA,NA
"CCDC86","ENSG00000110104","coiled-coil domain containing 86 [Source:HGNC Symbol;Acc:HGNC:28359]",0,"PF03879",NA,NA
"CCNT1","ENSG00000129315","cyclin T1 [Source:HGNC Symbol;Acc:HGNC:1599]",0,"PF00134","Cyclin_N","Cyclin, N-terminal domain"
"CD3EAP","ENSG00000117877","CD3e molecule associated protein [Source:HGNC Symbol;Acc:HGNC:24219]",0,"PF08208","RNA_polI_A34","DNA-directed RNA polymerase I subunit RPA34.5"
"CDC40","ENSG00000168438","cell division cycle 40 [Source:HGNC Symbol;Acc:HGNC:17350]",1,"PF00400","WD40","WD domain, G-beta repeat"
"CDC5L","ENSG00000096401","cell division cycle 5 like [Source:HGNC Symbol;Acc:HGNC:1743]",0,"PF13921|PF11831","Myb_DNA-bind_6","Myb-like DNA-binding domain"
"CDK9","ENSG00000136807","cyclin dependent kinase 9 [Source:HGNC Symbol;Acc:HGNC:1780]",0,"PF00069","Pkinase","Protein kinase domain"
"CEBPZ","ENSG00000115816","CCAAT/enhancer binding protein zeta [Source:HGNC Symbol;Acc:HGNC:24218]",0,"PF03914",NA,NA
"CELF1","ENSG00000149187","CUGBP, Elav-like family member 1 [Source:HGNC Symbol;Acc:HGNC:2549]",1,"PF00076","RRM_1","RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain)"
"CELF2","ENSG00000048740","CUGBP, Elav-like family member 2 [Source:HGNC Symbol;Acc:HGNC:2550]",1,"PF00076","RRM_1","RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain)"
"CHERP","ENSG00000085872","calcium homeostasis endoplasmic reticulum protein [Source:HGNC Symbol;Acc:HGNC:16930]",1,"PF04818|PF01805|PF01585","CTD_bind|Surp","RNA polymerase II-binding domain.|Surp module"
"CHTOP","ENSG00000160679","chromatin target of PRMT1 [Source:HGNC Symbol;Acc:HGNC:24511]",0,"PF13865",NA,NA
"CIRBP","ENSG00000099622","cold inducible RNA binding protein [Source:HGNC Symbol;Acc:HGNC:1982]",1,"PF00076","RRM_1","RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain)"
"CLK2","ENSG00000176444|ENSG00000261893","CDC like kinase 2 [Source:HGNC Symbol;Acc:HGNC:2069]",0,"PF00069","Pkinase","Protein kinase domain"
"CLK3","ENSG00000179335","CDC like kinase 3 [Source:HGNC Symbol;Acc:HGNC:2071]",0,"PF00069","Pkinase","Protein kinase domain"
"CMSS1","ENSG00000184220","cms1 ribosomal small subunit homolog (yeast) [Source:HGNC Symbol;Acc:HGNC:28666]",0,"PF14617",NA,NA
"CMTR1","ENSG00000137200","cap methyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:21077]",1,"PF01728|PF01585","FtsJ","FtsJ-like methyltransferase"
"CNBP","ENSG00000169714","CCHC-type zinc finger nucleic acid binding protein [Source:HGNC Symbol;Acc:HGNC:13164]",1,"PF00098","zf-CCHC","Zinc knuckle"
"CNOT1","ENSG00000125107","CCR4-NOT transcription complex subunit 1 [Source:HGNC Symbol;Acc:HGNC:7877]",0,"PF12842|PF16418|PF16415|PF04054|PF16417","DUF3819|CNOT1_HEAT|CNOT1_CAF1_bind|Not1|CNOT1_TTP_bind","Domain of unknown function (DUF3819)|CCR4-NOT transcription complex subunit 1 HEAT repeat|CCR4-NOT transcription complex subunit 1 CAF1-binding domain|CCR4-Not complex component, Not1|CCR4-NOT transcription complex subunit 1 TTP binding domain"
"CNOT11","ENSG00000158435","CCR4-NOT transcription complex subunit 11 [Source:HGNC Symbol;Acc:HGNC:25217]",0,"PF10155",NA,NA
"CNOT2","ENSG00000111596","CCR4-NOT transcription complex subunit 2 [Source:HGNC Symbol;Acc:HGNC:7878]",0,"PF04153","NOT2_3_5","NOT2 / NOT3 / NOT5 family"
"CNOT4","ENSG00000080802","CCR4-NOT transcription complex subunit 4 [Source:HGNC Symbol;Acc:HGNC:7880]",1,"PF00076|PF14570","RRM_1|zf-RING_4","RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain)|RING/Ubox like zinc-binding domain"
"CNOT9","ENSG00000144580","CCR4-NOT transcription complex subunit 9 [Source:HGNC Symbol;Acc:HGNC:10445]",0,"PF04078","Rcd1","Cell differentiation family, Rcd1-like"
"CPEB2","ENSG00000137449|ENSG00000283087","cytoplasmic polyadenylation element binding protein 2 [Source:HGNC Symbol;Acc:HGNC:21745]",1,"PF16366|PF16367","CEBP_ZZ|RRM_7","Cytoplasmic polyadenylation element-binding protein ZZ domain|RNA recognition motif"
"CPEB3","ENSG00000107864","cytoplasmic polyadenylation element binding protein 3 [Source:HGNC Symbol;Acc:HGNC:21746]",1,"PF16366|PF16367","CEBP_ZZ|RRM_7","Cytoplasmic polyadenylation element-binding protein ZZ domain|RNA recognition motif"
"CPEB4","ENSG00000113742","cytoplasmic polyadenylation element binding protein 4 [Source:HGNC Symbol;Acc:HGNC:21747]",1,"PF16367|PF16366","RRM_7|CEBP_ZZ","RNA recognition motif|Cytoplasmic polyadenylation element-binding protein ZZ domain"
"CPSF1","ENSG00000071894","cleavage and polyadenylation specific factor 1 [Source:HGNC Symbol;Acc:HGNC:2324]",0,"PF03178|PF10433","CPSF_A|MMS1_N","CPSF A subunit region|Mono-functional DNA-alkylating methyl methanesulfonate N-term"
"CPSF2","ENSG00000165934","cleavage and polyadenylation specific factor 2 [Source:HGNC Symbol;Acc:HGNC:2325]",0,"PF07521|PF13299|PF16661|PF10996","RMMBL|Lactamase_B_6|Beta-Casp","RNA-metabolising metallo-beta-lactamase|Metallo-beta-lactamase superfamily domain|Beta-Casp domain"
"CPSF3","ENSG00000119203","cleavage and polyadenylation specific factor 3 [Source:HGNC Symbol;Acc:HGNC:2326]",0,"PF11718|PF10996|PF00753|PF07521|PF16661","Beta-Casp|Lactamase_B|RMMBL|Lactamase_B_6","Beta-Casp domain|Metallo-beta-lactamase superfamily|RNA-metabolising metallo-beta-lactamase|Metallo-beta-lactamase superfamily domain"
"CPSF4","ENSG00000160917","cleavage and polyadenylation specific factor 4 [Source:HGNC Symbol;Acc:HGNC:2327]",1,"PF15663|PF00642|PF00098","zf-CCCH|zf-CCHC","Zinc finger C-x8-C-x5-C-x3-H type (and similar)|Zinc knuckle"
"CPSF6","ENSG00000111605","cleavage and polyadenylation specific factor 6 [Source:HGNC Symbol;Acc:HGNC:13871]",1,"PF00076","RRM_1","RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain)"
"CPSF7","ENSG00000149532","cleavage and polyadenylation specific factor 7 [Source:HGNC Symbol;Acc:HGNC:30098]",1,"PF00076","RRM_1","RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain)"
"CRNKL1","ENSG00000101343","crooked neck pre-mRNA splicing factor 1 [Source:HGNC Symbol;Acc:HGNC:15762]",0,"PF02184","HAT","HAT (Half-A-TPR) repeat"
"CSDE1","ENSG00000009307","cold shock domain containing E1 [Source:HGNC Symbol;Acc:HGNC:29905]",1,"PF12901|PF00313","CSD","'Cold-shock' DNA-binding domain"
"CSTF1","ENSG00000101138","cleavage stimulation factor subunit 1 [Source:HGNC Symbol;Acc:HGNC:2483]",1,"PF00400|PF16699","WD40|CSTF1_dimer","WD domain, G-beta repeat|Cleavage stimulation factor subunit 1, dimerisation domain"
"CSTF2","ENSG00000101811","cleavage stimulation factor subunit 2 [Source:HGNC Symbol;Acc:HGNC:2484]",1,"PF14304|PF14327|PF00076","CSTF_C|CSTF2_hinge|RRM_1","Transcription termination and cleavage factor C-terminal|Hinge domain of cleavage stimulation factor subunit 2|RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain)"
"CSTF2T","ENSG00000177613","cleavage stimulation factor subunit 2 tau variant [Source:HGNC Symbol;Acc:HGNC:17086]",1,"PF00076|PF14327|PF14304","RRM_1|CSTF2_hinge|CSTF_C","RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain)|Hinge domain of cleavage stimulation factor subunit 2|Transcription termination and cleavage factor C-terminal"
"CSTF3","ENSG00000176102","cleavage stimulation factor subunit 3 [Source:HGNC Symbol;Acc:HGNC:2485]",0,"PF05843","Suf","Suppressor of forked protein (Suf)"
"CTIF","ENSG00000134030|ENSG00000282825","cap binding complex dependent translation initiation factor [Source:HGNC Symbol;Acc:HGNC:23925]",1,"PF02854","MIF4G","MIF4G domain"
"CWC15","ENSG00000150316","CWC15 spliceosome associated protein homolog [Source:HGNC Symbol;Acc:HGNC:26939]",0,"PF04889","Cwf_Cwc_15","Cwf15/Cwc15 cell cycle control protein"
"CWC22","ENSG00000163510","CWC22 spliceosome associated protein homolog [Source:HGNC Symbol;Acc:HGNC:29322]",1,"PF02847|PF02854","MA3|MIF4G","MA3 domain|MIF4G domain"
"CWF19L1","ENSG00000095485","CWF19-like 1, cell cycle control (S. pombe) [Source:HGNC Symbol;Acc:HGNC:25613]",0,"PF04676|PF04677","CwfJ_C_2|CwfJ_C_1","Protein similar to CwfJ C-terminus 2|Protein similar to CwfJ C-terminus 1"
"CWF19L2","ENSG00000152404","CWF19-like 2, cell cycle control (S. pombe) [Source:HGNC Symbol;Acc:HGNC:26508]",0,"PF04677|PF04676","CwfJ_C_1|CwfJ_C_2","Protein similar to CwfJ C-terminus 1|Protein similar to CwfJ C-terminus 2"
"CXorf23","ENSG00000173681","chromosome X open reading frame 23 [Source:HGNC Symbol;Acc:HGNC:27413]",0,"PF15440",NA,NA
"DAP3","ENSG00000132676","death associated protein 3 [Source:HGNC Symbol;Acc:HGNC:2673]",0,"PF10236","DAP3","Mitochondrial ribosomal death-associated protein 3"
"DARS","ENSG00000115866","aspartyl-tRNA synthetase [Source:HGNC Symbol;Acc:HGNC:2678]",1,"PF01336|PF00152","tRNA_anti-codon|tRNA-synt_2","OB-fold nucleic acid binding domain|tRNA synthetases class II (D, K and N)"
"DARS2","ENSG00000117593","aspartyl-tRNA synthetase 2, mitochondrial [Source:HGNC Symbol;Acc:HGNC:25538]",1,"PF02938|PF00152|PF01336","GAD|tRNA-synt_2|tRNA_anti-codon","GAD domain|tRNA synthetases class II (D, K and N)|OB-fold nucleic acid binding domain"
"DAZAP1","ENSG00000071626","DAZ associated protein 1 [Source:HGNC Symbol;Acc:HGNC:2683]",1,"PF00076","RRM_1","RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain)"
"DBR1","ENSG00000138231","debranching RNA lariats 1 [Source:HGNC Symbol;Acc:HGNC:15594]",0,"PF00149|PF05011","Metallophos","Calcineurin-like phosphoesterase"
"DCAF13","ENSG00000164934","DDB1 and CUL4 associated factor 13 [Source:HGNC Symbol;Acc:HGNC:24535]",1,"PF08662|PF04158|PF00400","eIF2A|WD40","Eukaryotic translation initiation factor eIF2A|WD domain, G-beta repeat"
"DDX1","ENSG00000079785","DEAD-box helicase 1 [Source:HGNC Symbol;Acc:HGNC:2734]",1,"PF00271|PF00270|PF00622","Helicase_C|DEAD|SPRY","Helicase conserved C-terminal domain|DEAD/DEAH box helicase|SPRY domain"
"DDX10","ENSG00000178105","DEAD-box helicase 10 [Source:HGNC Symbol;Acc:HGNC:2735]",1,"PF00270|PF13959|PF00271","DEAD|Helicase_C","DEAD/DEAH box helicase|Helicase conserved C-terminal domain"
"DDX17","ENSG00000100201","DEAD-box helicase 17 [Source:HGNC Symbol;Acc:HGNC:2740]",1,"PF00271|PF00270","Helicase_C|DEAD","Helicase conserved C-terminal domain|DEAD/DEAH box helicase"
"DDX18","ENSG00000088205","DEAD-box helicase 18 [Source:HGNC Symbol;Acc:HGNC:2741]",1,"PF13959|PF00271|PF00270","Helicase_C|DEAD","Helicase conserved C-terminal domain|DEAD/DEAH box helicase"
"DDX19A","ENSG00000168872","DEAD-box helicase 19A [Source:HGNC Symbol;Acc:HGNC:25628]",1,"PF00270|PF00271","DEAD|Helicase_C","DEAD/DEAH box helicase|Helicase conserved C-terminal domain"
"DDX20","ENSG00000064703","DEAD-box helicase 20 [Source:HGNC Symbol;Acc:HGNC:2743]",1,"PF00271|PF00270","Helicase_C|DEAD","Helicase conserved C-terminal domain|DEAD/DEAH box helicase"
"DDX21","ENSG00000165732","DExD-box helicase 21 [Source:HGNC Symbol;Acc:HGNC:2744]",1,"PF08152|PF00271|PF00270","GUCT|Helicase_C|DEAD","GUCT (NUC152) domain|Helicase conserved C-terminal domain|DEAD/DEAH box helicase"
"DDX23","ENSG00000174243","DEAD-box helicase 23 [Source:HGNC Symbol;Acc:HGNC:17347]",1,"PF00271|PF00270","Helicase_C|DEAD","Helicase conserved C-terminal domain|DEAD/DEAH box helicase"
"DDX24","ENSG00000089737|ENSG00000273761","DEAD-box helicase 24 [Source:HGNC Symbol;Acc:HGNC:13266]",1,"PF00271|PF00270","Helicase_C|DEAD","Helicase conserved C-terminal domain|DEAD/DEAH box helicase"
"DDX27","ENSG00000124228","DEAD-box helicase 27 [Source:HGNC Symbol;Acc:HGNC:15837]",1,"PF00271|PF00270","Helicase_C|DEAD","Helicase conserved C-terminal domain|DEAD/DEAH box helicase"
"DDX28","ENSG00000182810","DEAD-box helicase 28 [Source:HGNC Symbol;Acc:HGNC:17330]",1,"PF00270|PF00271","DEAD|Helicase_C","DEAD/DEAH box helicase|Helicase conserved C-terminal domain"
"DDX31","ENSG00000125485","DEAD-box helicase 31 [Source:HGNC Symbol;Acc:HGNC:16715]",1,"PF00270|PF13959|PF00271","DEAD|Helicase_C","DEAD/DEAH box helicase|Helicase conserved C-terminal domain"
"DDX39A","ENSG00000123136","DExD-box helicase 39A [Source:HGNC Symbol;Acc:HGNC:17821]",1,"PF00270|PF00271","DEAD|Helicase_C","DEAD/DEAH box helicase|Helicase conserved C-terminal domain"
"DDX39B","ENSG00000198563|ENSG00000215425|ENSG00000225073|ENSG00000225859|ENSG00000229496|ENSG00000230624|ENSG00000235439|ENSG00000237889","DExD-box helicase 39B [Source:HGNC Symbol;Acc:HGNC:13917]",1,"PF00270|PF00271","DEAD|Helicase_C","DEAD/DEAH box helicase|Helicase conserved C-terminal domain"
"DDX3X","ENSG00000215301","DEAD-box helicase 3, X-linked [Source:HGNC Symbol;Acc:HGNC:2745]",1,"PF00271|PF00270","Helicase_C|DEAD","Helicase conserved C-terminal domain|DEAD/DEAH box helicase"
"DDX41","ENSG00000183258","DEAD-box helicase 41 [Source:HGNC Symbol;Acc:HGNC:18674]",1,"PF00270|PF00271","DEAD|Helicase_C","DEAD/DEAH box helicase|Helicase conserved C-terminal domain"
"DDX42","ENSG00000198231","DEAD-box helicase 42 [Source:HGNC Symbol;Acc:HGNC:18676]",1,"PF00270|PF00271","DEAD|Helicase_C","DEAD/DEAH box helicase|Helicase conserved C-terminal domain"
"DDX43","ENSG00000080007","DEAD-box helicase 43 [Source:HGNC Symbol;Acc:HGNC:18677]",1,"PF00013|PF00270|PF00271","KH_1|DEAD|Helicase_C","KH domain|DEAD/DEAH box helicase|Helicase conserved C-terminal domain"
"DDX46","ENSG00000145833","DEAD-box helicase 46 [Source:HGNC Symbol;Acc:HGNC:18681]",1,"PF00270|PF00271","DEAD|Helicase_C","DEAD/DEAH box helicase|Helicase conserved C-terminal domain"
"DDX47","ENSG00000213782","DEAD-box helicase 47 [Source:HGNC Symbol;Acc:HGNC:18682]",1,"PF00271|PF00270","Helicase_C|DEAD","Helicase conserved C-terminal domain|DEAD/DEAH box helicase"
"DDX49","ENSG00000105671","DEAD-box helicase 49 [Source:HGNC Symbol;Acc:HGNC:18684]",1,"PF00271|PF00270","Helicase_C|DEAD","Helicase conserved C-terminal domain|DEAD/DEAH box helicase"
"DDX50","ENSG00000107625","DExD-box helicase 50 [Source:HGNC Symbol;Acc:HGNC:17906]",1,"PF00271|PF08152|PF00270","Helicase_C|GUCT|DEAD","Helicase conserved C-terminal domain|GUCT (NUC152) domain|DEAD/DEAH box helicase"
"DDX51","ENSG00000185163","DEAD-box helicase 51 [Source:HGNC Symbol;Acc:HGNC:20082]",1,"PF00271|PF00270","Helicase_C|DEAD","Helicase conserved C-terminal domain|DEAD/DEAH box helicase"
